Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684700380365,0,0,0,0,-208.699966,0,-0.43,-0.38
1684700381046,0,0,0,0,-208.699966,0,-0.43,-0.38
1684700382729,0,0,0,0,-208.699966,2836.26733,-1454.63574,1133.23376
1684700382766,0,0,0,0,-208.699966,2836.28931,-1454.65051,1133.17566
1684700382794,0,0,0,0,-208.699966,2836.25244,-1454.56372,1133.20911
1684700382802,0,0,0,0,-208.699966,2836.35571,-1454.72656,1133.14661
1684700382864,0,0,0,0,-208.699966,2836.31,-1454.71716,1133.19116
1684700382965,0,0,0,0,-208.699966,2836.3064,-1454.60217,1133.13635
1684700383064,0,0,0,0,-208.699966,2836.29639,-1454.63049,1133.164
1684700383163,0,0,0,0,-208.699966,2836.22217,-1454.51636,1133.23718
1684700383266,0,0,0,0,-208.699966,2836.25732,-1454.54517,1133.20837
1684700383364,0,0,0,0,-208.699966,2836.31274,-1454.626,1133.12891
1684700383464,0,0,0,0,-208.699966,2836.2417,-1454.56506,1133.17261
1684700383564,0,0,0,0,-208.699966,2836.19824,-1454.55969,1133.22461
1684700383665,0,0,0,0,-208.699966,2836.325,-1454.65552,1133.19556
1684700383764,0,0,0,0,-208.699966,2836.2583,-1454.6615,1133.172
1684700383866,0,0,0,0,-208.699966,2836.27246,-1454.63293,1133.17078
1684700383965,0,0,0,0,-208.699966,2836.33252,-1454.68408,1133.177
1684700384064,0,0,0,0,-208.699966,2836.25513,-1454.62109,1133.17468
1684700384164,0,0,0,0,-208.699966,2836.21069,-1454.53662,1133.191
1684700384263,0,0,0,0,-208.699966,2836.31958,-1454.605,1133.22449
1684700384365,0,0,0,0,-208.699966,2836.318,-1454.61572,1133.1272
1684700384463,0,0,0,0,-208.699966,2836.22534,-1454.54932,1133.189
1684700384564,0,0,0,0,-208.699966,2836.27539,-1454.55725,1133.20117
1684700384663,0,0,0,0,-208.699966,2836.3335,-1454.68494,1133.15857
1684700384764,0,0,0,0,-208.699966,2836.266,-1454.66052,1133.15234
1684700384863,0,0,0,0,-208.699966,2836.212,-1454.56421,1133.18921
1684700384964,0,0,0,0,-208.699966,2836.269,-1454.63025,1133.20056
1684700385065,0,0,0,0,-208.699966,2836.30566,-1454.507,1133.18237
1684700385164,0,0,0,0,-208.699966,2836.24658,-1454.49438,1133.124
1684700385264,0,0,0,0,-208.699966,2836.22754,-1454.36865,1133.182
1684700385365,0,0,0,0,-208.699966,2836.19678,-1454.36768,1133.13037
1684700385465,0,0,0,0,-208.699966,2836.29565,-1454.48633,1133.07971
1684700385565,0,0,0,0,-208.699966,2836.29639,-1454.61145,1133.07568
1684700385665,0,0,0,0,-208.699966,2836.06836,-1452.304,1132.16357
1684700385764,0,0,0,0,-208.699966,2837.95581,-1446.5708,1129.84155
1684700385864,0,0,0,0,-208.699966,2833.38354,-1439.042,1123.22351
1684700385963,0,0,0,0,-208.699966,2828.35376,-1437.02612,1119.15417
1684700386064,0,0,0,0,-208.699966,2824.415,-1440.293,1119.58752
1684700386164,0,0,0,0,-208.699966,2830.36572,-1443.1814,1124.916
1684700386266,0,0,0,0,-208.699966,2836.61279,-1446.878,1128.17517
1684700386364,0,0,0,0,-208.699966,2836.865,-1449.4668,1128.57739
1684700386464,0,0,0,0,-208.699966,2836.68164,-1449.835,1132.14856
1684700386565,0,0,0,0,-208.699966,2837.74854,-1449.78711,1133.5824
1684700386665,0,0,0,0,-208.699966,2837.69263,-1449.1488,1133.51318
1684700386765,0,0,0,0,-208.699966,2838.41748,-1446.15381,1130.43494
1684700386864,0,0,0,0,-208.699966,2837.792,-1441.824,1125.91309
1684700386965,0,0,0,0,-208.699966,2831.36353,-1437.2738,1122.9613
1684700387064,0,0,0,0,-208.699966,2826.85059,-1432.558,1126.72021
1684700387165,0,0,0,0,-208.699966,2832.63623,-1437.73242,1133.3833
1684700387264,0,0,0,0,-208.699966,2831.19849,-1438.387,1132.85608
