Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684703191995,0,0,0,0,-208.699966,0,-0.43,-0.38
1684703192121,0,0,0,0,-208.699966,0,-0.43,-0.38
1684703193664,0,0,0,0,-208.699966,680.8403,481.900269,1515.58484
1684703193716,0,0,0,0,-208.699966,680.57605,481.712219,1515.74609
1684703193747,0,0,0,0,-208.699966,680.4475,481.701965,1515.824
1684703193765,0,0,0,0,-208.699966,680.3717,481.7317,1515.876
1684703193774,0,0,0,0,-208.699966,680.357,481.751068,1515.90771
1684703193871,0,0,0,0,-208.699966,680.1104,482.1906,1515.68677
1684703193968,0,0,0,0,-208.699966,679.619,482.60022,1516.03088
1684703194066,0,0,0,0,-208.699966,678.8819,483.148254,1517.0415
1684703194163,0,0,0,0,-208.699966,678.166748,483.8592,1518.48669
1684703194277,0,0,0,0,-208.699966,677.7516,483.951263,1519.7218
1684703194372,0,0,0,0,-208.699966,677.458,483.6611,1520.20728
1684703194473,0,0,0,0,-208.699966,-0.483475864,1.52086234,0.677019358
1684703194572,0,0,0,0,-208.699966,-0.4843009,1.52151978,0.6766145
1684703194671,0,0,0,0,-208.699966,-0.487247765,1.5218122,0.6763569
1684703194770,0,0,0,0,-208.699966,-0.491642147,1.52109742,0.6752146
1684703194868,0,0,0,0,-208.699966,-0.49845022,1.52059937,0.6731571
1684703194964,0,0,0,0,-208.699966,-0.5055412,1.52152693,0.6702617
1684703195062,0,0,0,0,-208.699966,-0.5120454,1.52243054,0.6661233
1684703195160,0,0,0,0,-208.699966,-0.5218575,1.52360189,0.6601254
1684703195271,0,0,0,0,-208.699966,-0.545166254,1.52414846,0.6488824
1684703195369,0,0,0,0,-208.699966,-0.5751004,1.52193189,0.6312114
1684703195466,0,0,0,0,-208.699966,-0.60994184,1.51770031,0.604410648
1684703195564,0,0,0,0,-208.699966,-0.6376643,1.515562,0.579196
1684703195662,0,0,0,0,-208.699966,-0.6599492,1.51469481,0.557705343
1684703195759,0,0,0,0,-208.699966,-0.677150548,1.51499438,0.5429025
1684703195871,0,0,0,0,-208.699966,-0.6972776,1.5204128,0.5312537
1684703195968,0,0,0,0,-208.699966,-0.7123022,1.52599013,0.5268954
1684703196065,0,0,0,0,-208.699966,-0.7289506,1.53111076,0.525712967
1684703196163,0,0,0,0,-208.699966,-0.7454309,1.53189313,0.53098917
1684703196261,0,0,0,0,-208.699966,-0.7608266,1.53022289,0.5418048
1684703196372,0,0,0,0,-208.699966,-0.775384,1.52848339,0.557426333
1684703196470,0,0,0,0,-208.699966,-0.786135256,1.52951336,0.573856831
1684703196567,0,0,0,0,-208.699966,-0.794621646,1.53082883,0.5888411
1684703196664,0,0,0,0,-208.699966,-0.803318739,1.53359818,0.605445
1684703196762,0,0,0,0,-208.699966,-0.811109,1.53691959,0.620344758
1684703196860,0,0,0,0,-208.699966,-0.818764746,1.54057455,0.6319012
1684703196971,0,0,0,0,-208.699966,-0.8268078,1.54297018,0.641427159
1684703197068,0,0,0,0,-208.699966,-0.8325536,1.54295933,0.648380756
1684703197166,0,0,0,0,-208.699966,-0.837988734,1.54014587,0.654568
1684703197263,0,0,0,0,-208.699966,-0.839893162,1.53223729,0.656944633
1684703197361,0,0,0,0,-208.699966,-0.8385939,1.52647877,0.6548319
1684703197472,0,0,0,0,-208.699966,-0.8342244,1.52538729,0.650775731
1684703197571,0,0,0,0,-208.699966,-0.8310014,1.52500868,0.651756167
1684703197667,0,0,0,0,-208.699966,-0.8282225,1.52010882,0.6578863
1684703197765,0,0,0,0,-208.699966,-0.8238666,1.51836061,0.666614056
1684703197862,0,0,0,0,-208.699966,-0.8221023,1.52077746,0.6746325
1684703197961,0,0,0,0,-208.699966,-0.8254441,1.52006638,0.6818118
1684703198072,0,0,0,0,-208.699966,-0.8333857,1.51954877,0.684631646
1684703198169,0,0,0,0,-208.699966,-0.842040658,1.52062464,0.682721436
1684703198266,0,0,0,0,-208.699966,-0.84949255,1.51887214,0.675745547
1684703198364,0,0,0,0,-208.699966,-0.8533508,1.51660442,0.665450752
1684703198460,0,0,0,0,-208.699966,-0.853700459,1.51633286,0.656690061
1684703198572,0,0,0,0,-208.699966,-0.850941837,1.51603806,0.650333047
1684703198668,0,0,0,0,-208.699966,-0.847878158,1.51485622,0.6482971
1684703198766,0,0,0,0,-208.699966,-0.84447813,1.514693,0.648828149
1684703198863,0,0,0,0,-208.699966,-0.8421212,1.515965,0.651141167
1684703198961,0,0,0,0,-208.699966,-0.841252148,1.51686966,0.6545812
1684703199072,0,0,0,0,-208.699966,-0.841281533,1.517271,0.659066
1684703199169,0,0,0,0,-208.699966,-0.840746343,1.51765645,0.661836147
1684703199267,0,0,0,0,-208.699966,-0.8400786,1.5177933,0.6624747
1684703199365,0,0,0,0,-208.699966,-0.8399753,1.52080941,0.661597252
1684703199462,0,0,0,0,-208.699966,-0.8393852,1.5242362,0.6581587
1684703199560,0,0,0,0,-208.699966,-0.8383337,1.52611363,0.655013144
1684703199660,0,0,0,0,-208.699966,-0.8375621,1.52580178,0.651953161
1684703199769,0,0,0,0,-208.699966,-0.8360156,1.52738225,0.645728052
1684703199866,0,0,0,0,-208.699966,-0.83327055,1.52897477,0.636424959
1684703199963,0,0,0,0,-208.699966,-0.831101954,1.53050172,0.6301322
1684703200060,0,0,0,0,-208.699966,-0.8289421,1.53398812,0.6223267
1684703200172,0,0,0,0,-208.699966,-0.825894,1.54252064,0.6109052
1684703200270,0,0,0,0,-208.699966,-0.82472086,1.54860508,0.607178032
1684703200367,0,0,0,0,-208.699966,-0.8256347,1.55239284,0.611053646
