Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684703739061,0,0,0,0,-208.699966,0,-0.43,-0.38
1684703739181,0,0,0,0,-208.699966,0,-0.43,-0.38
1684703740765,0,0,0,0,-208.699966,597.5661,942.5775,1559.75024
1684703740811,0,0,0,0,-208.699966,597.854248,942.587769,1559.55566
1684703740842,0,0,0,0,-208.699966,598.0449,942.5682,1559.53088
1684703740855,0,0,0,0,-208.699966,598.100952,942.561646,1559.53967
1684703740869,0,0,0,0,-208.699966,598.156555,942.5451,1559.55042
1684703740967,0,0,0,0,-208.699966,598.6518,942.4007,1559.74121
1684703741064,0,0,0,0,-208.699966,599.053467,942.3655,1559.725
1684703741161,0,0,0,0,-208.699966,599.1218,942.6127,1559.5835
1684703741259,0,0,0,0,-208.699966,598.7503,942.861145,1559.265
1684703741489,0,0,0,0,-208.699966,598.116638,943.4549,1558.90051
1684703741510,0,0,0,0,-208.699966,598.0809,943.563354,1558.83447
1684703741569,0,0,0,0,-208.699966,-0.9437504,1.55870712,0.5980052
1684703741667,0,0,0,0,-208.699966,-0.9440715,1.55853868,0.598046243
1684703741766,0,0,0,0,-208.699966,-0.944225848,1.55843961,0.5980059
1684703741864,0,0,0,0,-208.699966,-0.944232643,1.55841458,0.597996354
1684703741962,0,0,0,0,-208.699966,-0.9441421,1.55842257,0.598231554
1684703742059,0,0,0,0,-208.699966,-0.94409883,1.55838346,0.5981715
1684703742156,0,0,0,0,-208.699966,-0.944125533,1.558292,0.598022044
1684703742270,0,0,0,0,-208.699966,-0.944093168,1.557918,0.5975755
1684703742366,0,0,0,0,-208.699966,-0.9439495,1.55784488,0.5970614
1684703742463,0,0,0,0,-208.699966,-0.9434809,1.55800581,0.5967456
1684703742561,0,0,0,0,-208.699966,-0.943178,1.55799937,0.595989943
1684703742659,0,0,0,0,-208.699966,-0.942883,1.55822563,0.59533155
1684703742770,0,0,0,0,-208.699966,-0.9417057,1.559003,0.5957355
1684703742868,0,0,0,0,-208.699966,-0.940838456,1.559425,0.5965283
1684703742964,0,0,0,0,-208.699966,-0.940298557,1.55905783,0.59676373
1684703743062,0,0,0,0,-208.699966,-0.9395391,1.5589608,0.5969114
1684703743160,0,0,0,0,-208.699966,-0.938287556,1.5592643,0.5976836
1684703743257,0,0,0,0,-208.699966,-0.93718636,1.55983627,0.5983955
1684703743369,0,0,0,0,-208.699966,-0.9358321,1.56031764,0.5996052
1684703743466,0,0,0,0,-208.699966,-0.9347514,1.56048441,0.6002665
1684703743563,0,0,0,0,-208.699966,-0.9341949,1.56045723,0.6002665
1684703743660,0,0,0,0,-208.699966,-0.933834553,1.56015718,0.6000715
1684703743758,0,0,0,0,-208.699966,-0.933650732,1.5602212,0.5996085
1684703743870,0,0,0,0,-208.699966,-0.9337634,1.56037641,0.5994205
1684703743966,0,0,0,0,-208.699966,-0.93416363,1.56030786,0.599381864
1684703744064,0,0,0,0,-208.699966,-0.9348984,1.56007946,0.5996634
1684703744161,0,0,0,0,-208.699966,-0.935557842,1.55975473,0.5998797
1684703744259,0,0,0,0,-208.699966,-0.9361914,1.55942631,0.5998086
1684703744357,0,0,0,0,-208.699966,-0.936464,1.55916667,0.5999021
1684703744469,0,0,0,0,-208.699966,-0.93652916,1.55929065,0.5999775
1684703744565,0,0,0,0,-208.699966,-0.9364178,1.55931222,0.600049138
1684703744663,0,0,0,0,-208.699966,-0.9362447,1.55928528,0.599851131
1684703744760,0,0,0,0,-208.699966,-0.9358914,1.55915987,0.5998364
1684703744858,0,0,0,0,-208.699966,-0.935315669,1.5591315,0.5996036
1684703744969,0,0,0,0,-208.699966,-0.9336777,1.55960238,0.598839939
1684703745067,0,0,0,0,-208.699966,-0.931350768,1.55990171,0.598002
1684703745165,0,0,0,0,-208.699966,-0.927836955,1.56075931,0.5966935
1684703745262,0,0,0,0,-208.699966,-0.9236384,1.56170726,0.5966106
1684703745359,0,0,0,0,-208.699966,-0.9193251,1.56272686,0.5970553
1684703745457,0,0,0,0,-208.699966,-0.915238142,1.56367767,0.597784638
1684703745569,0,0,0,0,-208.699966,-0.909071147,1.564418,0.599546432
1684703745666,0,0,0,0,-208.699966,-0.9019531,1.56590855,0.600254357
1684703745764,0,0,0,0,-208.699966,-0.8941151,1.56758666,0.5998057
1684703745861,0,0,0,0,-208.699966,-0.8840994,1.56691015,0.598735869
1684703745959,0,0,0,0,-208.699966,-0.8756923,1.56757462,0.5965527
1684703746070,0,0,0,0,-208.699966,-0.8687619,1.56657553,0.5918672
1684703746168,0,0,0,0,-208.699966,-0.8629289,1.56341207,0.587927461
1684703746264,0,0,0,0,-208.699966,-0.855708361,1.5646385,0.5825071
1684703746363,0,0,0,0,-208.699966,-0.85008353,1.56674838,0.575705051
1684703746460,0,0,0,0,-208.699966,-0.8458375,1.56592417,0.57047987
1684703746557,0,0,0,0,-208.699966,-0.8430116,1.56536472,0.5678516
1684703746669,0,0,0,0,-208.699966,-0.840029538,1.56611431,0.5677914
1684703746766,0,0,0,0,-208.699966,-0.837664366,1.56579459,0.570100367
1684703746863,0,0,0,0,-208.699966,-0.8346191,1.5647428,0.5718199
1684703746961,0,0,0,0,-208.699966,-0.831371367,1.5647577,0.5719367
1684703747058,0,0,0,0,-208.699966,-0.828897655,1.56520855,0.5725489
1684703747170,0,0,0,0,-208.699966,-0.825566649,1.56484,0.573103
1684703747268,0,0,0,0,-208.699966,-0.8234099,1.56596112,0.5723075
1684703747365,0,0,0,0,-208.699966,-0.822657049,1.56713438,0.5717316
1684703747478,0,0,0,0,-208.699966,-0.8201028,1.56571114,0.571598351
1684703747560,0,0,0,0,-208.699966,-0.8187313,1.56810522,0.5728875
1684703747659,0,0,0,0,-208.699966,-0.81950134,1.569407,0.573982954
1684703747769,0,0,0,0,-208.699966,-0.8223715,1.56939816,0.574874043
1684703747868,0,0,0,0,-208.699966,-0.8255701,1.56973648,0.5751526
1684703747963,0,0,0,0,-208.699966,-0.828567445,1.569785,0.5756744
1684703748059,0,0,0,0,-208.652847,-0.8314015,1.56922007,0.575458348
1684703748170,0,0,0,0,-208.541962,-0.835304856,1.56896532,0.5746775
1684703748268,0,0,0,0,-208.445374,-0.8396544,1.5695647,0.5730547
1684703748365,0,0,0,0,-208.347748,-0.844486,1.5671227,0.56821996
1684703748463,0,0,0,0,-208.248047,-0.847408354,1.56594253,0.562051833
1684703748561,0,0,0,0,-208.149384,-0.849328458,1.56480622,0.558520436
1684703748658,0,0,0,0,-208.052078,-0.8534442,1.56246281,0.556625962
1684703748770,0,0,0,0,-207.9412,-0.863450646,1.56075811,0.556845546
1684703748868,0,0,0,0,-207.8461,-0.8739937,1.56386817,0.5622706
1684703748965,0,0,0,0,-207.748962,-0.890960634,1.55765212,0.5748595
1684703749062,0,0,0,0,-207.652847,-0.9127379,1.54450536,0.5919209
1684703749160,0,0,0,0,-207.556747,-0.9306321,1.549125,0.6064896
1684703749257,0,0,0,0,-207.460632,-0.93838346,1.56412649,0.6158864
1684703749369,0,0,0,0,-207.352249,-0.941203535,1.57142723,0.6234924
1684703749466,0,0,0,0,-207.256134,-0.942918837,1.57130861,0.622558832
1684703749564,0,0,0,0,-207.159073,-0.948659062,1.56552553,0.6134123
1684703749661,0,0,0,0,-207.062119,-0.95824194,1.54833162,0.596111953
1684703749759,0,0,0,0,-206.965149,-0.9682893,1.54691947,0.5743343
1684703749870,0,0,0,0,-206.857986,-0.969721556,1.56716776,0.5560597
1684703749968,0,0,0,0,-206.7631,-0.962268233,1.57751477,0.548943937
1684703750066,0,0,0,0,-206.666245,-0.9510751,1.57420266,0.5456789
1684703750163,0,0,0,0,-206.568466,-0.944802761,1.55946755,0.5479268
1684703750261,0,0,0,0,-206.472839,-0.9442345,1.544043,0.5602172
1684703750359,0,0,0,0,-206.378311,-0.946677,1.5429908,0.5765333
1684703750470,0,0,0,0,-206.269562,-0.947608531,1.566525,0.5964632
1684703750567,0,0,0,0,-206.174057,-0.945041,1.57277179,0.6052468
1684703750664,0,0,0,0,-206.079651,-0.94044,1.56969535,0.606810033
1684703750761,0,0,0,0,-205.983353,-0.935672641,1.56024837,0.600297
1684703750860,0,0,0,0,-205.88826,-0.931833863,1.54304242,0.588071764
1684703750956,0,0,0,0,-205.7924,-0.932306349,1.53239512,0.574370563
1684703751069,0,0,0,0,-205.684631,-0.940213263,1.546835,0.556299865
1684703751166,0,0,0,0,-205.588959,-0.9442325,1.56212234,0.546255469
1684703751264,0,0,0,0,-205.492355,-0.94477886,1.56607866,0.5470086
1684703751361,0,0,0,0,-205.397888,-0.947311,1.56123281,0.554356933
1684703751459,0,0,0,0,-205.302628,-0.953860462,1.548196,0.564066648
1684703751570,0,0,0,0,-205.19545,-0.9699689,1.52855062,0.584410667
1684703751667,0,0,0,0,-205.1023,-0.9844014,1.536596,0.6000872
1684703751765,0,0,0,0,-205.007141,-0.994460642,1.55402732,0.6079586
1684703751862,0,0,0,0,-204.911987,-1.00032485,1.56197119,0.6044546
1684703751960,0,0,0,0,-204.818848,-1.00696743,1.55911875,0.5951616
1684703752057,0,0,0,0,-204.724731,-1.01489019,1.544283,0.5837462
1684703752168,0,0,0,0,-204.616623,-1.026641,1.52522552,0.564478159
1684703752266,0,0,0,0,-204.524536,-1.03887546,1.53490639,0.54755
1684703752363,0,0,0,0,-204.429443,-1.04193079,1.54932046,0.5392884
1684703752462,0,0,0,0,-204.335358,-1.03967345,1.55633,0.5416647
1684703752559,0,0,0,0,-204.242264,-1.03902912,1.5514245,0.548519552
1684703752670,0,0,0,0,-204.135178,-1.04519093,1.53139734,0.5619921
1684703752767,0,0,0,0,-204.043091,-1.05381465,1.51959956,0.576816261
1684703752864,0,0,0,0,-203.949,-1.06458807,1.53293765,0.594317257
1684703752962,0,0,0,0,-203.852921,-1.07036293,1.55068922,0.604678452
1684703753060,0,0,0,0,-203.759842,-1.07195139,1.552667,0.60456115
1684703753157,0,0,0,0,-203.666763,-1.07210481,1.54959166,0.598909259
1684703753269,0,0,0,0,-203.560669,-1.07422721,1.53378487,0.588534653
1684703753366,0,0,0,0,-203.466583,-1.08097339,1.52091777,0.577905059
1684703753465,0,0,0,0,-203.3725,-1.09462416,1.53213847,0.5644181
1684703753560,0,0,0,0,-203.278412,-1.10314739,1.54766166,0.5557206
1684703753659,0,0,0,0,-203.184326,-1.10306764,1.556366,0.5545131
1684703753770,0,0,0,0,-203.078247,-1.10182226,1.56230593,0.558695853
1684703753868,0,0,0,0,-202.983154,-1.10537875,1.55387068,0.5655825
1684703753965,0,0,0,0,-202.889069,-1.1144371,1.535774,0.5793146
