Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684704150774,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704150904,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704152478,0,0,0,0,-208.699966,578.154236,1084.60693,1571.97449
1684704152544,0,0,0,0,-208.699966,579.7706,1087.00586,1571.17163
1684704152578,0,0,0,0,-208.699966,580.5736,1088.03638,1570.43469
1684704152591,0,0,0,0,-208.699966,581.2146,1088.83569,1569.59106
1684704152602,0,0,0,0,-208.699966,581.5236,1089.11548,1569.132
1684704152672,0,0,0,0,-208.699966,583.8781,1090.663,1565.27759
1684704152769,0,0,0,0,-208.699966,588.3244,1092.6095,1563.94861
1684704152881,0,0,0,0,-208.699966,591.059937,1094.42114,1562.73389
1684704152979,0,0,0,0,-208.699966,590.9979,1096.09619,1563.04041
1684704153150,0,0,0,0,-208.699966,590.501648,1099.59143,1561.40955
1684704153176,0,0,0,0,-208.699966,590.3231,1099.79529,1561.4541
1684704153272,0,0,0,0,-208.699966,-1.10061383,1.56156182,0.589534461
1684704153374,0,0,0,0,-208.699966,-1.1008718,1.56125045,0.5895243
1684704153471,0,0,0,0,-208.699966,-1.10076487,1.56103373,0.5895216
1684704153570,0,0,0,0,-208.699966,-1.10112274,1.56086826,0.5883642
1684704153670,0,0,0,0,-208.699966,-1.10103118,1.56077909,0.586788952
1684704153780,0,0,0,0,-208.699966,-1.09993458,1.561387,0.585291266
1684704153877,0,0,0,0,-208.699966,-1.0988152,1.56155658,0.5841401
1684704153975,0,0,0,0,-208.699966,-1.09774351,1.56082213,0.5830996
1684704154073,0,0,0,0,-208.699966,-1.097036,1.55953324,0.58221966
1684704154171,0,0,0,0,-208.699966,-1.097143,1.55805027,0.5799442
1684704154281,0,0,0,0,-208.699966,-1.09759915,1.5566057,0.5758833
1684704154379,0,0,0,0,-208.699966,-1.09725821,1.55549836,0.5726452
1684704154476,0,0,0,0,-208.699966,-1.09622681,1.55462313,0.570772
1684704154574,0,0,0,0,-208.699966,-1.09393442,1.55413282,0.569874942
1684704154672,0,0,0,0,-208.699966,-1.09062815,1.55429292,0.5698008
1684704154769,0,0,0,0,-208.699966,-1.08698165,1.55434513,0.570292
1684704154881,0,0,0,0,-208.699966,-1.08369255,1.55405784,0.5704524
1684704154978,0,0,0,0,-208.699966,-1.08156753,1.5536443,0.5704367
1684704155075,0,0,0,0,-208.699966,-1.07924676,1.55341029,0.5703162
1684704155173,0,0,0,0,-208.699966,-1.07632089,1.55374336,0.5696223
1684704155271,0,0,0,0,-208.699966,-1.07141292,1.55598509,0.568513155
1684704155382,0,0,0,0,-208.699966,-1.06531084,1.55805373,0.5663937
1684704155480,0,0,0,0,-208.699966,-1.06103051,1.55753934,0.56496805
1684704155577,0,0,0,0,-208.699966,-1.0582304,1.55686641,0.564504147
1684704155676,0,0,0,0,-208.699966,-1.05632031,1.55681014,0.564288735
1684704155772,0,0,0,0,-208.699966,-1.05553937,1.5559026,0.5637716
1684704155870,0,0,0,0,-208.699966,-1.05517,1.55367744,0.5633618
1684704155981,0,0,0,0,-208.699966,-1.0539813,1.55196452,0.5635467
1684704156079,0,0,0,0,-208.699966,-1.05311942,1.55165744,0.562140763
1684704156176,0,0,0,0,-208.699966,-1.05168974,1.55150509,0.559771061
1684704156273,0,0,0,0,-208.699966,-1.05060875,1.55314541,0.5598246
1684704156371,0,0,0,0,-208.699966,-1.05175161,1.55359972,0.561751366
1684704156482,0,0,0,0,-208.699966,-1.05461407,1.55110562,0.5617522
1684704156580,0,0,0,0,-208.699966,-1.05610836,1.54837954,0.5589074
1684704156678,0,0,0,0,-208.699966,-1.05570173,1.54734325,0.5552665
1684704156775,0,0,0,0,-208.699966,-1.05350482,1.54721069,0.5498798
1684704156873,0,0,0,0,-208.699966,-1.05044913,1.54795623,0.543780446
1684704156970,0,0,0,0,-208.699966,-1.04734933,1.54931939,0.5389488
1684704157081,0,0,0,0,-208.699966,-1.04464567,1.55120063,0.535310566
1684704157179,0,0,0,0,-208.699966,-1.04262483,1.55225253,0.533092558
1684704157277,0,0,0,0,-208.699966,-1.040886,1.55319166,0.5325588
1684704157374,0,0,0,0,-208.699966,-1.03979039,1.55407,0.5348063
1684704157471,0,0,0,0,-208.699966,-1.039157,1.55477571,0.538687944
1684704157570,0,0,0,0,-208.699966,-1.04130578,1.55451775,0.543625951
1684704157681,0,0,0,0,-208.699966,-1.04574525,1.55127048,0.548730433
1684704157787,0,0,0,0,-208.699966,-1.04936755,1.55040085,0.551958859
1684704157878,0,0,0,0,-208.699966,-1.053108,1.55146575,0.5535524
1684704157978,0,0,0,0,-208.699966,-1.05835676,1.55133319,0.553897
1684704158089,0,0,0,0,-208.699966,-1.06372011,1.55116379,0.5519714
1684704158176,0,0,0,0,-208.699966,-1.06535256,1.54964817,0.54722
1684704158275,0,0,0,0,-208.699966,-1.06486535,1.54974484,0.5382695
1684704158375,0,0,0,0,-208.699966,-1.06260276,1.54764163,0.5289729
1684704158471,0,0,0,0,-208.699966,-1.05887735,1.54567778,0.518222749
1684704158582,0,0,0,0,-208.699966,-1.05649436,1.54417694,0.5084033
1684704158682,0,0,0,0,-208.622482,-1.0561887,1.54155767,0.5036237
1684704158779,0,0,0,0,-208.52301,-1.0561173,1.53966212,0.5024881
1684704158875,0,0,0,0,-208.424576,-1.05759311,1.54195821,0.502102554
1684704158974,0,0,0,0,-208.3272,-1.06249309,1.543489,0.503383458
1684704159071,0,0,0,0,-208.227722,-1.07068789,1.54205549,0.5077856
1684704159181,0,0,0,0,-208.115677,-1.08341086,1.53937185,0.514416158
1684704159279,0,0,0,0,-208.0183,-1.0974623,1.53855383,0.5232531
1684704159377,0,0,0,0,-207.919861,-1.11485076,1.54029512,0.5413952
1684704159474,0,0,0,0,-207.822479,-1.13009024,1.54337847,0.5652742
1684704159571,0,0,0,0,-207.7251,-1.1427182,1.54811645,0.5867676
1684704159784,0,0,0,0,-207.509384,-1.16771066,1.55072379,0.6017373
1684704159797,0,0,0,0,-207.483215,-1.16896427,1.55106163,0.601333439
1684704159878,0,0,0,0,-207.41095,-1.17968392,1.55060053,0.5957688
1684704159976,0,0,0,0,-207.311447,-1.19354093,1.54622567,0.5853956
1684704160073,0,0,0,0,-207.211945,-1.2051568,1.53770959,0.570704639
1684704160170,0,0,0,0,-207.113434,-1.21328545,1.54454267,0.554713666
1684704160282,0,0,0,0,-207.000168,-1.21326029,1.56237245,0.543869853
1684704160380,0,0,0,0,-206.902512,-1.21285641,1.5703305,0.543302834
1684704160477,0,0,0,0,-206.803787,-1.22063231,1.564182,0.5479941
1684704160575,0,0,0,0,-206.705063,-1.23505449,1.54213321,0.560032666
1684704160672,0,0,0,0,-206.604141,-1.24665844,1.52491975,0.5801399
1684704160770,0,0,0,0,-206.50412,-1.248601,1.53915954,0.5963062
1684704160881,0,0,0,0,-206.392151,-1.23435652,1.55937517,0.606406331
1684704161050,0,0,0,0,-206.219864,-1.19710648,1.55462015,0.6124104
1684704161078,0,0,0,0,-206.196609,-1.19330156,1.5520972,0.6125255
1684704161173,0,0,0,0,-206.090912,-1.18057692,1.53938866,0.6092006
1684704161273,0,0,0,0,-205.990509,-1.18017876,1.53042424,0.5964747
1684704161383,0,0,0,0,-205.878418,-1.19321132,1.54019952,0.5744613
1684704161482,0,0,0,0,-205.7779,-1.20858562,1.56127512,0.556191444
1684704161579,0,0,0,0,-205.679367,-1.21637261,1.56851459,0.546784937
1684704161675,0,0,0,0,-205.5787,-1.22241056,1.56669545,0.5436221
1684704161773,0,0,0,0,-205.480164,-1.23154151,1.554115,0.545306
1684704161875,0,0,0,0,-205.3774,-1.24509072,1.53194165,0.5549362
1684704161981,0,0,0,0,-205.265,-1.264869,1.52149248,0.5770865
1684704162080,0,0,0,0,-205.165131,-1.27748728,1.5388242,0.5924917
1684704162177,0,0,0,0,-205.064957,-1.28076255,1.55668664,0.5978165
1684704162274,0,0,0,0,-204.963348,-1.28189409,1.56440949,0.5973829
1684704162372,0,0,0,0,-204.861679,-1.28657413,1.55125368,0.592071
1684704162469,0,0,0,0,-204.763031,-1.296117,1.52927709,0.581579268
1684704162581,0,0,0,0,-204.646683,-1.31413829,1.53189361,0.563288748
1684704162679,0,0,0,0,-204.543854,-1.32399249,1.54767764,0.5517835
1684704162776,0,0,0,0,-204.441223,-1.32525146,1.55901873,0.5494389
1684704162873,0,0,0,0,-204.337311,-1.324817,1.5583998,0.5514808
1684704162971,0,0,0,0,-204.2323,-1.3293134,1.542593,0.5531527
1684704163081,0,0,0,0,-204.118027,-1.34139824,1.52245629,0.5624954
1684704163180,0,0,0,0,-204.012421,-1.3582021,1.527388,0.578508556
1684704163277,0,0,0,0,-203.910034,-1.36790848,1.54208088,0.58517313
1684704163377,0,0,0,0,-203.801514,-1.37363923,1.55760169,0.5841241
1684704163472,0,0,0,0,-203.69133,-1.379415,1.55728126,0.5776845
1684704163571,0,0,0,0,-203.584579,-1.3874352,1.538986,0.565516
1684704163681,0,0,0,0,-203.461563,-1.40197682,1.52391267,0.547308147
1684704163780,0,0,0,0,-203.350555,-1.41505051,1.53844285,0.5336715
1684704163876,0,0,0,0,-203.239365,-1.4135741,1.557282,0.5312785
1684704163973,0,0,0,0,-203.124039,-1.40417814,1.57010579,0.537524939
1684704164071,0,0,0,0,-203.0087,-1.39850521,1.55964088,0.5472207
1684704164182,0,0,0,0,-202.8788,-1.40281343,1.5338074,0.5611095
1684704164280,0,0,0,0,-202.76265,-1.415733,1.53570855,0.5780034
1684704164378,0,0,0,0,-202.642715,-1.42199755,1.546355,0.589695156
1684704164475,0,0,0,0,-202.520782,-1.41851151,1.56075454,0.593644
1684704164573,0,0,0,0,-202.398254,-1.41140664,1.56108165,0.5917242
1684704164671,0,0,0,0,-202.275726,-1.40769279,1.54429078,0.583444953
1684704164782,0,0,0,0,-202.13623,-1.408664,1.52836347,0.5658224
1684704164880,0,0,0,0,-202.011932,-1.40638709,1.5440625,0.5535668
1684704164977,0,0,0,0,-201.886566,-1.39128578,1.562901,0.5513176
1684704165074,0,0,0,0,-201.760757,-1.36968613,1.57435775,0.5572257
1684704165171,0,0,0,0,-201.6336,-1.35287035,1.56485462,0.567483962
1684704165270,0,0,0,0,-201.496964,-1.34545588,1.54380894,0.580744445
1684704165381,0,0,0,0,-201.359,-1.346767,1.539154,0.5962106
1684704165478,0,0,0,0,-201.229385,-1.34361064,1.5545826,0.5995339
1684704165576,0,0,0,0,-201.102081,-1.33138323,1.56999171,0.5961284
1684704165675,0,0,0,0,-200.974777,-1.31713057,1.567294,0.5907322
1684704165771,0,0,0,0,-200.8461,-1.30902743,1.54594231,0.5823332
1684704165883,0,0,0,0,-200.699631,-1.30713046,1.53126466,0.5674045
1684704165980,0,0,0,0,-200.57045,-1.30474818,1.54851186,0.557626247
1684704166077,0,0,0,0,-200.440552,-1.29465616,1.56605923,0.5563959
1684704166175,0,0,0,0,-200.3105,-1.28049123,1.5745486,0.5617964
1684704166272,0,0,0,0,-200.18045,-1.27112675,1.556209,0.5708013
1684704166370,0,0,0,0,-200.0504,-1.2701019,1.529301,0.5818273
1684704166481,0,0,0,0,-199.903732,-1.27216864,1.52826989,0.5957294
1684704166578,0,0,0,0,-199.771973,-1.26600969,1.54478872,0.595157444
1684704166677,0,0,0,0,-199.640076,-1.25398719,1.563848,0.5817509
1684704166773,0,0,0,0,-199.508179,-1.24325454,1.55859649,0.5652919
1684704166871,0,0,0,0,-199.37767,-1.23841512,1.5333153,0.5504167
1684704166983,0,0,0,0,-199.229126,-1.241145,1.52897143,0.5363287
1684704167080,0,0,0,0,-199.099838,-1.23934,1.54808116,0.5331844
1684704167178,0,0,0,0,-198.970322,-1.2305094,1.56295776,0.5396828
1684704167276,0,0,0,0,-198.837982,-1.22108889,1.5612247,0.5537573
1684704167372,0,0,0,0,-198.707031,-1.218634,1.53777122,0.566892743
1684704167471,0,0,0,0,-198.577469,-1.2237432,1.52042878,0.5830792
1684704167581,0,0,0,0,-198.4297,-1.2281791,1.53134084,0.5958277
1684704167680,0,0,0,0,-198.298477,-1.22243118,1.55131876,0.595232069
1684704167820,0,0,0,0,-198.105789,-1.21567655,1.55796993,0.5788369
1684704167874,0,0,0,0,-198.0304,-1.21686316,1.54749417,0.570876062
1684704167973,0,0,0,0,-197.899139,-1.22345459,1.52291727,0.5557032
1684704168083,0,0,0,0,-197.749649,-1.23069155,1.53870845,0.543205857
1684704168182,0,0,0,0,-197.6196,-1.22435975,1.55994916,0.5399834
1684704168278,0,0,0,0,-197.488129,-1.2145257,1.5722661,0.548789561
1684704168375,0,0,0,0,-197.356659,-1.20824146,1.5615257,0.5638304
1684704168472,0,0,0,0,-197.223785,-1.21114981,1.53439653,0.578990459
1684704168571,0,0,0,0,-197.093658,-1.21851432,1.5301857,0.595159
1684704168681,0,0,0,0,-196.943832,-1.21399856,1.55846608,0.605172634
1684704168779,0,0,0,0,-196.812164,-1.20060909,1.576645,0.5988839
1684704168877,0,0,0,0,-196.680511,-1.19069552,1.56788611,0.5885808
1684704168975,0,0,0,0,-196.550262,-1.18722689,1.54044175,0.576311
1684704169072,0,0,0,0,-196.4186,-1.190065,1.52963972,0.56078285
1684704169170,0,0,0,0,-196.288315,-1.18810534,1.55067277,0.547619641
1684704169281,0,0,0,0,-196.137,-1.17444563,1.57369113,0.5440989
1684704169552,0,0,0,0,-195.755844,-1.16315007,1.52294683,0.572072744
1684704169575,0,0,0,0,-195.732025,-1.16473567,1.52161038,0.574729145
1684704169588,0,0,0,0,-195.6984,-1.165602,1.521811,0.57604605
1684704169671,0,0,0,0,-195.5961,-1.17210865,1.53289521,0.5852251
1684704169770,0,0,0,0,-195.465759,-1.16839755,1.55091679,0.592270434
1684704169880,0,0,0,0,-195.3158,-1.16067111,1.55961692,0.5939661
1684704169979,0,0,0,0,-195.184052,-1.15936112,1.54034185,0.5864643
1684704170074,0,0,0,0,-195.0509,-1.16363621,1.51750326,0.5735335
1684704170187,0,0,0,0,-194.907944,-1.17103517,1.52681744,0.558563
1684704170270,0,0,0,0,-194.7888,-1.16491747,1.54695916,0.55268997
1684704170380,0,0,0,0,-194.640228,-1.15152419,1.5600065,0.553621233
1684704170483,0,0,0,0,-194.508469,-1.14681709,1.54388344,0.5593034
1684704170575,0,0,0,0,-194.3725,-1.1518265,1.51999891,0.5673766
1684704170673,0,0,0,0,-194.242142,-1.16138363,1.51725829,0.57583946
1684704170770,0,0,0,0,-194.110382,-1.161874,1.537844,0.580373168
1684704170881,0,0,0,0,-193.959,-1.15755236,1.5589869,0.5764476
1684704170979,0,0,0,0,-193.828629,-1.15767014,1.55106556,0.5635651
1684704171076,0,0,0,0,-193.696869,-1.16198277,1.52379024,0.5487076
1684704171174,0,0,0,0,-193.56369,-1.16981423,1.5205673,0.5328381
1684704171271,0,0,0,0,-193.430511,-1.16807592,1.5437752,0.5249281
1684704171382,0,0,0,0,-193.2819,-1.15410662,1.56549382,0.526055932
1684704171482,0,0,0,0,-193.147324,-1.14457583,1.55955076,0.534041941
1684704171579,0,0,0,0,-193.016953,-1.1449914,1.536236,0.5440873
1684704171675,0,0,0,0,-192.88237,-1.1525048,1.51899183,0.5558339
1684704171773,0,0,0,0,-192.751984,-1.15593565,1.52996278,0.561601937
1684704171872,0,0,0,0,-192.6202,-1.14907312,1.55255544,0.558103
1684704171982,0,0,0,0,-192.467377,-1.1408174,1.55756354,0.5472375
1684704172081,0,0,0,0,-192.33699,-1.14057112,1.53441167,0.5347248
1684704172177,0,0,0,0,-192.2052,-1.146795,1.519869,0.5250029
1684704172275,0,0,0,0,-192.072,-1.15147471,1.53172171,0.5226523
1684704172372,0,0,0,0,-191.938812,-1.14277256,1.55370748,0.5297414
1684704172483,0,0,0,0,-191.788788,-1.12977755,1.55855918,0.5456123
1684704172580,0,0,0,0,-191.6584,-1.1253947,1.53556,0.5653474
1684704172680,0,0,0,0,-191.5238,-1.12842131,1.51569951,0.585265458
1684704172776,0,0,0,0,-191.3934,-1.13400674,1.52645135,0.600246668
1684704172872,0,0,0,0,-191.261612,-1.13010228,1.543454,0.6095411
1684704172971,0,0,0,0,-191.129822,-1.12158525,1.55487442,0.607219458
1684704173082,0,0,0,0,-190.9798,-1.116438,1.53484428,0.595453739
1684704173180,0,0,0,0,-190.8466,-1.11713636,1.51162875,0.5808131
1684704173277,0,0,0,0,-190.7134,-1.11599827,1.51884162,0.569927037
1684704173373,0,0,0,0,-190.583008,-1.10110867,1.53791034,0.565751731
1684704173471,0,0,0,0,-190.451218,-1.08116841,1.55054,0.571317
1684704173582,0,0,0,0,-190.3026,-1.06599307,1.53387713,0.5835462
1684704173680,0,0,0,0,-190.170792,-1.06191528,1.51101947,0.596591353
1684704173777,0,0,0,0,-190.0404,-1.06314421,1.51329875,0.6046805
1684704173875,0,0,0,0,-189.907211,-1.05975187,1.53288221,0.6035954
1684704173972,0,0,0,0,-189.772614,-1.05394959,1.55346489,0.594142139
1684704174070,0,0,0,0,-189.646423,-1.05147386,1.55065024,0.5802917
1684704174181,0,0,0,0,-189.495,-1.05348778,1.52424753,0.5633298
1684704174278,0,0,0,0,-189.364609,-1.05497551,1.52933037,0.5485357
1684704174378,0,0,0,0,-189.232819,-1.04984391,1.55650568,0.539587736
1684704174473,0,0,0,0,-189.101013,-1.03952265,1.57061422,0.5435544
1684704174571,0,0,0,0,-188.970627,-1.03249526,1.56577361,0.5529818
1684704174683,0,0,0,0,-188.82341,-1.0325861,1.53568912,0.5661385
1684704174780,0,0,0,0,-188.69162,-1.03863442,1.52176416,0.580317855
1684704174878,0,0,0,0,-188.559814,-1.043673,1.53646529,0.587566853
1684704174975,0,0,0,0,-188.429428,-1.04188752,1.55472767,0.587205768
1684704175072,0,0,0,0,-188.297638,-1.03945982,1.5588907,0.5818639
1684704175170,0,0,0,0,-188.165833,-1.04235041,1.533123,0.5727511
1684704175281,0,0,0,0,-188.017227,-1.05289185,1.5083437,0.558378339
1684704175379,0,0,0,0,-187.885437,-1.06129527,1.51797068,0.5496666
1684704175477,0,0,0,0,-187.755051,-1.05785632,1.52715,0.5518763
1684704175573,0,0,0,0,-187.621857,-1.05111563,1.52647257,0.5661324
1684704175671,0,0,0,0,-187.490067,-1.04648542,1.50301719,0.5846681
1684704175782,0,0,0,0,-187.340042,-1.05265117,1.46653175,0.6048776
1684704175880,0,0,0,0,-187.206848,-1.0632056,1.46587563,0.61695075
1684704175994,0,0,0,0,-187.03862,-1.061437,1.49273992,0.615077257
1684704176075,0,0,0,0,-186.940475,-1.05873489,1.50730979,0.6075161
1684704176173,0,0,0,0,-186.807281,-1.0594492,1.496765,0.5939909
1684704176270,0,0,0,0,-186.674088,-1.06747115,1.46983719,0.57705164
1684704176382,0,0,0,0,-186.526871,-1.080622,1.476497,0.557010353
1684704176479,0,0,0,0,-186.393677,-1.08089113,1.49692726,0.552240252
1684704176576,0,0,0,0,-186.2605,-1.07687807,1.512833,0.5581968
1684704176676,0,0,0,0,-186.128708,-1.07706559,1.50815487,0.572081149
1684704176771,0,0,0,0,-185.996918,-1.08316851,1.48405981,0.5898775
1684704176869,0,0,0,0,-185.863724,-1.09387314,1.48087752,0.6067362
1684704176980,0,0,0,0,-185.7151,-1.09264076,1.50550067,0.613629937
1684704177078,0,0,0,0,-185.583313,-1.08103728,1.53019536,0.61056155
1684704177175,0,0,0,0,-185.451523,-1.06961048,1.53499448,0.6003755
1684704177273,0,0,0,0,-185.319733,-1.0666045,1.51742685,0.588264763
1684704177370,0,0,0,0,-185.187943,-1.07013,1.51433384,0.575035
1684704177482,0,0,0,0,-185.03653,-1.07295418,1.537419,0.5627584
1684704177579,0,0,0,0,-184.906143,-1.06792951,1.5614481,0.563937247
1684704177677,0,0,0,0,-184.774353,-1.06396461,1.563087,0.572872937
1684704177773,0,0,0,0,-184.641159,-1.0656178,1.5404048,0.5862096
1684704177871,0,0,0,0,-184.507965,-1.07470942,1.52480638,0.6007005
1684704177983,0,0,0,0,-184.360748,-1.08491945,1.54178369,0.6074805
1684704178081,0,0,0,0,-184.227554,-1.08359277,1.56048477,0.6027473
1684704178178,0,0,0,0,-184.095764,-1.07698059,1.56516647,0.594630659
1684704178276,0,0,0,0,-183.962585,-1.07171047,1.5445044,0.583203
1684704178373,0,0,0,0,-183.83078,-1.074441,1.52629507,0.5680033
1684704178471,0,0,0,0,-183.6976,-1.07660127,1.53654313,0.5540998
1684704178570,0,0,0,0,-183.5644,-1.06796432,1.55699217,0.5451503
