Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684704627682,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704627792,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629107,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629141,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629160,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629169,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629243,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629343,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629442,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629542,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629644,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629744,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629844,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704629947,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630058,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630144,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630242,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630343,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630443,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630543,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630644,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630743,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630844,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704630944,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631043,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631145,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631244,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631345,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631442,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631543,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631644,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631743,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631843,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704631943,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632043,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632144,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632244,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632344,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632443,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632542,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632643,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632743,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632844,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704632942,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633043,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633143,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633242,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633343,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633444,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633544,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633830,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633842,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633855,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704633943,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634043,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634144,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634244,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634343,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634443,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634543,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634643,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634745,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634852,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704634944,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635043,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635142,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635243,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635344,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635442,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635544,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635643,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635744,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635845,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704635943,0,0,0,0,-208.699966,0,-0.43,-0.38
1684704636042,0,0,0,0,-208.699966,0,-0.43,-0.38
