Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685657907607,0,0,0,0,-208.699966,0,-0.43,-0.38
1685657907719,0,0,0,0,-208.699966,0,-0.43,-0.38
1685657909112,0,0,0,0,-208.699966,2860.4436,-1525.03845,1137.7832
1685657909154,0,0,0,0,-208.699966,2860.47876,-1525.14417,1137.76
1685657909172,0,0,0,0,-208.699966,2860.472,-1525.04932,1137.75928
1685657909180,0,0,0,0,-208.699966,2860.38428,-1525.05237,1137.86682
1685657909252,0,0,0,0,-208.699966,2860.75342,-1525.43469,1137.72449
1685657909352,0,0,0,0,-208.699966,2860.44214,-1525.02576,1137.7915
1685657909453,0,0,0,0,-208.699966,2860.93,-1525.69836,1137.60535
1685657909551,0,0,0,0,-208.699966,2860.55444,-1525.22742,1137.78979
1685657909651,0,0,0,0,-208.699966,2860.41821,-1525.08362,1137.84851
1685657909751,0,0,0,0,-208.699966,2860.553,-1525.23425,1137.86511
1685657909852,0,0,0,0,-208.699966,2860.62,-1525.29565,1137.70093
1685657909950,0,0,0,0,-208.699966,2860.52612,-1525.11792,1137.84265
1685657910052,0,0,0,0,-208.699966,2860.41626,-1525.08484,1137.83728
1685657910151,0,0,0,0,-208.699966,2860.78516,-1525.48865,1137.75891
1685657910251,0,0,0,0,-208.699966,2860.41553,-1524.96277,1137.91455
1685657910351,0,0,0,0,-208.699966,2860.68823,-1525.28455,1137.70715
1685657910452,0,0,0,0,-208.699966,2860.5127,-1525.28174,1137.69287
1685657910551,0,0,0,0,-208.699966,2860.80933,-1525.55713,1137.632
1685657910653,0,0,0,0,-208.699966,2860.3667,-1524.99548,1137.835
1685657910751,0,0,0,0,-208.699966,2860.02368,-1524.48743,1138.11108
1685657910851,0,0,0,0,-208.699966,2860.691,-1525.39954,1137.701
1685657910952,0,0,0,0,-208.699966,2860.21753,-1525.01428,1138.64563
1685657911051,0,0,0,0,-208.699966,2859.98462,-1524.40112,1138.27051
1685657911150,0,0,0,0,-208.699966,2860.59375,-1525.34436,1137.79382
1685657911250,0,0,0,0,-208.699966,2860.47314,-1525.02271,1137.90735
1685657911350,0,0,0,0,-208.699966,2860.62549,-1525.21545,1137.83447
1685657911452,0,0,0,0,-208.699966,2860.51563,-1525.16907,1137.80872
1685657911551,0,0,0,0,-208.699966,2860.72485,-1525.43884,1137.7002
1685657911651,0,0,0,0,-208.699966,2860.429,-1524.96606,1137.90942
1685657911751,0,0,0,0,-208.699966,2860.64648,-1525.412,1137.73181
1685657911851,0,0,0,0,-208.699966,2860.208,-1524.72925,1138.0144
1685657911951,0,0,0,0,-208.699966,2860.537,-1525.15,1137.801
1685657912051,0,0,0,0,-208.699966,2860.65942,-1525.298,1137.6908
1685657912152,0,0,0,0,-208.699966,2860.50317,-1525.0719,1137.81543
1685657912252,0,0,0,0,-208.699966,2860.34644,-1524.8938,1137.89441
1685657912351,0,0,0,0,-208.699966,2860.509,-1525.04993,1137.84058
1685657912452,0,0,0,0,-208.699966,2860.802,-1525.51978,1137.663
1685657912552,0,0,0,0,-208.699966,2860.58228,-1525.21484,1137.828
1685657912652,0,0,0,0,-208.699966,2860.462,-1525.03625,1137.89417
1685657912752,0,0,0,0,-208.699966,2860.47144,-1525.016,1137.86768
1685657912851,0,0,0,0,-208.699966,2860.50464,-1525.20935,1137.83521
1685657912951,0,0,0,0,-208.699966,2860.25464,-1524.70923,1138.13513
1685657913051,0,0,0,0,-208.699966,2860.40332,-1524.962,1137.89673
1685657913150,0,0,0,0,-208.699966,2860.69019,-1525.39319,1137.704
1685657913251,0,0,0,0,-208.699966,2860.52759,-1525.17175,1137.82825
1685657913351,0,0,0,0,-208.699966,2860.81543,-1525.53235,1137.40332
1685657913451,0,0,0,0,-208.699966,2860.51855,-1525.19678,1137.8219
1685657913552,0,0,0,0,-208.699966,2860.63745,-1525.35828,1137.77271
1685657913650,0,0,0,0,-208.699966,2860.35547,-1525.07434,1137.77307
1685657913751,0,0,0,0,-208.699966,2860.567,-1525.32922,1137.7782
1685657913851,0,0,0,0,-208.699966,2860.6748,-1525.428,1137.71045
1685657913951,0,0,0,0,-208.699966,2860.53564,-1525.28442,1137.72668
1685657914052,0,0,0,0,-208.699966,2860.49756,-1525.091,1137.72778
1685657914155,0,0,0,0,-208.699966,2860.82764,-1525.70081,1137.70483
1685657914251,0,0,0,0,-208.699966,2860.31665,-1524.867,1137.90491
1685657914351,0,0,0,0,-208.699966,2860.784,-1525.64856,1137.58582
1685657914452,0,0,0,0,-208.699966,2860.93384,-1525.73633,1137.69287
1685657914549,0,0,0,0,-208.699966,2860.6853,-1525.475,1137.6687
1685657914651,0,0,0,0,-208.699966,2860.76587,-1525.62451,1137.57385
1685657914751,0,0,0,0,-208.699966,2860.551,-1525.25476,1137.74768
1685657914852,0,0,0,0,-208.699966,2860.7085,-1525.45789,1137.63391
1685657914951,0,0,0,0,-208.699966,2860.567,-1525.28748,1137.84021
1685657915051,0,0,0,0,-208.699966,2860.605,-1525.27466,1137.77759
1685657915151,0,0,0,0,-208.699966,2860.29077,-1524.90784,1137.96863
1685657915253,0,0,0,0,-208.699966,2860.261,-1524.90369,1137.97424
1685657915351,0,0,0,0,-208.699966,2860.558,-1525.14819,1137.78137
1685657915451,0,0,0,0,-208.699966,2860.636,-1525.18628,1137.78149
1685657915550,0,0,0,0,-208.699966,2860.39136,-1524.99231,1137.91284
1685657915651,0,0,0,0,-208.699966,2860.27344,-1524.80347,1137.93311
1685657915751,0,0,0,0,-208.699966,2860.478,-1525.08923,1137.83777
1685657915850,0,0,0,0,-208.699966,2860.36084,-1524.94507,1137.77759
1685657915953,0,0,0,0,-208.699966,2860.5144,-1525.22766,1137.86755
1685657916051,0,0,0,0,-208.699966,2860.45313,-1525.008,1137.8429
1685657916152,0,0,0,0,-208.699966,2860.66919,-1525.33118,1137.80786
1685657916252,0,0,0,0,-208.699966,2860.66968,-1525.23022,1137.777
1685657916351,0,0,0,0,-208.699966,2860.45947,-1524.91492,1137.86023
1685657916452,0,0,0,0,-208.699966,2860.61426,-1525.23376,1137.84436
1685657916551,0,0,0,0,-208.699966,2860.561,-1525.29,1137.75439
1685657916651,0,0,0,0,-208.699966,2860.399,-1525.07751,1137.9176
1685657916753,0,0,0,0,-208.699966,2860.79932,-1525.49011,1137.50183
1685657916852,0,0,0,0,-208.699966,2860.60449,-1525.3324,1137.7345
1685657916951,0,0,0,0,-208.699966,2860.506,-1525.19727,1137.87915
1685657917052,0,0,0,0,-208.699966,2860.576,-1525.27832,1137.6698
1685657917152,0,0,0,0,-208.699966,2860.643,-1525.436,1137.71155
1685657917251,0,0,0,0,-208.699966,2860.37231,-1525.0144,1137.92224
1685657917352,0,0,0,0,-208.699966,2860.69116,-1525.35889,1137.74036
1685657917452,0,0,0,0,-208.699966,2860.75366,-1525.63806,1137.50146
1685657917551,0,0,0,0,-208.699966,2860.14868,-1524.82861,1137.80457
1685657917651,0,0,0,0,-208.699966,2860.89453,-1525.64893,1137.49719
1685657917752,0,0,0,0,-208.699966,2860.35815,-1525.00354,1137.77209
1685657917855,0,0,0,0,-208.699966,2860.85815,-1525.76062,1137.42273
1685657917952,0,0,0,0,-208.699966,2860.599,-1525.43945,1137.55627
1685657918051,0,0,0,0,-208.699966,2860.69946,-1525.568,1137.68726
1685657918152,0,0,0,0,-208.699966,2860.38965,-1525.23792,1137.79028
1685657918251,0,0,0,0,-208.699966,2860.60352,-1525.34851,1137.83728
1685657918351,0,0,0,0,-208.699966,2860.6748,-1525.443,1137.70044
1685657918453,0,0,0,0,-208.699966,2860.67017,-1525.47546,1137.4314
1685657918552,0,0,0,0,-208.699966,2860.611,-1525.39917,1137.49414
1685657918651,0,0,0,0,-208.699966,2860.89551,-1525.76636,1137.46021
1685657918752,0,0,0,0,-208.699966,2860.90381,-1525.75061,1137.44543
1685657918851,0,0,0,0,-208.699966,2860.34277,-1525.17493,1137.75525
1685657918951,0,0,0,0,-208.699966,2860.26074,-1524.92029,1137.63281
1685657919051,0,0,0,0,-208.699966,2860.55151,-1525.31067,1137.43579
1685657919151,0,0,0,0,-208.699966,2861.02,-1525.96362,1137.4519
1685657919252,0,0,0,0,-208.699966,2860.63428,-1525.49658,1137.66016
1685657919352,0,0,0,0,-208.699966,2860.56323,-1525.31982,1137.42883
1685657919451,0,0,0,0,-208.699966,2860.39063,-1525.08655,1137.41919
1685657919552,0,0,0,0,-208.699966,2861,-1525.749,1137.33044
1685657919651,0,0,0,0,-208.699966,2860.56885,-1525.41528,1137.59241
1685657919751,0,0,0,0,-208.699966,2860.75464,-1525.713,1137.50012
1685657919851,0,0,0,0,-208.699966,2861.13379,-1526.10608,1137.37866
1685657919951,0,0,0,0,-208.699966,2861.03955,-1525.94177,1137.31226
1685657920051,0,0,0,0,-208.699966,2860.631,-1525.54468,1137.50549
1685657920151,0,0,0,0,-208.699966,2860.69751,-1525.50513,1137.53809
1685657920252,0,0,0,0,-208.699966,2860.09131,-1524.69788,1137.67468
1685657920351,0,0,0,0,-208.699966,2860.73633,-1525.6665,1137.55835
1685657920452,0,0,0,0,-208.699966,2860.90576,-1525.73413,1137.4303
1685657920551,0,0,0,0,-208.699966,2860.28516,-1525.0033,1137.4884
