Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685659825137,0,0,0,0,-208.699966,0,-0.43,-0.38
1685659825251,0,0,0,0,-208.699966,0,-0.43,-0.38
1685659826736,0,0,0,0,-208.699966,453.680847,856.050354,1631.88965
1685659826773,0,0,0,0,-208.699966,460.8497,859.4055,1633.55872
1685659826798,0,0,0,0,-208.699966,471.418823,862.982544,1635.124
1685659826822,0,0,0,0,-208.699966,479.553925,865.2969,1636.17847
1685659826831,0,0,0,0,-208.699966,483.860077,866.3564,1636.71973
1685659826928,0,0,0,0,-208.699966,526.997559,871.960266,1640.35767
1685659827040,0,0,0,0,-208.699966,559.1111,872.1035,1637.6781
1685659827129,0,0,0,0,-208.699966,570.626831,872.3039,1633.99707
1685659827235,0,0,0,0,-208.699966,574.29364,873.5479,1631.40918
1685659827332,0,0,0,0,-208.699966,575.516,875.9112,1627.75952
1685659827435,0,0,0,0,-208.699966,576.2129,880.2329,1622.93921
1685659827529,0,0,0,0,-208.699966,-0.8851212,1.61679053,0.5757981
1685659827629,0,0,0,0,-208.699966,-0.8866166,1.60469782,0.573593
1685659827727,0,0,0,0,-208.699966,-0.88591677,1.59733427,0.56804806
1685659827840,0,0,0,0,-208.699966,-0.883203566,1.5978868,0.5615022
1685659827937,0,0,0,0,-208.699966,-0.878119767,1.59891784,0.5576394
1685659828035,0,0,0,0,-208.699966,-0.8756487,1.59922326,0.5531895
1685659828133,0,0,0,0,-208.699966,-0.873538136,1.59703064,0.5507654
1685659828231,0,0,0,0,-208.699966,-0.8727367,1.59689426,0.5486978
1685659828328,0,0,0,0,-208.699966,-0.8739234,1.591241,0.545677841
1685659828438,0,0,0,0,-208.699966,-0.8753399,1.582877,0.5427426
1685659828537,0,0,0,0,-208.699966,-0.876570761,1.58037925,0.540969
1685659828634,0,0,0,0,-208.699966,-0.8779964,1.57906294,0.539836
1685659828732,0,0,0,0,-208.699966,-0.8789993,1.57925785,0.539356768
1685659828828,0,0,0,0,-208.699966,-0.879845738,1.57958078,0.539721549
1685659828940,0,0,0,0,-208.699966,-0.8804433,1.580319,0.541832864
1685659829037,0,0,0,0,-208.699966,-0.8806268,1.5809741,0.5445024
1685659829135,0,0,0,0,-208.699966,-0.880602539,1.58071363,0.5467306
1685659829233,0,0,0,0,-208.699966,-0.8801429,1.58183229,0.547659159
1685659829330,0,0,0,0,-208.699966,-0.8793124,1.582937,0.5473266
1685659829431,0,0,0,0,-208.699966,-0.8780127,1.58295107,0.547029138
1685659829538,0,0,0,0,-208.699966,-0.8758592,1.58463812,0.546733737
1685659829636,0,0,0,0,-208.699966,-0.8736594,1.58709478,0.5451352
1685659829740,0,0,0,0,-208.699966,-0.872423649,1.58836627,0.543086469
1685659829831,0,0,0,0,-208.699966,-0.8722053,1.58830643,0.5410372
