Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685660866610,0,0,0,0,-208.699966,0,-0.43,-0.38
1685660866739,0,0,0,0,-208.699966,0,-0.43,-0.38
1685660868225,0,0,0,0,-208.699966,556.3251,1138.939,1566.96265
1685660868269,0,0,0,0,-208.699966,558.0721,1141.67456,1567.67529
1685660868289,0,0,0,0,-208.699966,560.0588,1142.88953,1568.12964
1685660868304,0,0,0,0,-208.699966,562.5374,1143.95032,1568.649
1685660868330,0,0,0,0,-208.699966,565.1351,1144.94177,1569.273
1685660868423,0,0,0,0,-208.699966,570.5961,1147.57764,1571.76758
1685660868520,0,0,0,0,-208.699966,571.5981,1151.02954,1578.52124
1685660868622,0,0,0,0,-208.699966,581.1843,1152.52014,1589.37683
1685660868728,0,0,0,0,-208.699966,585.1669,1150.93213,1600.46033
1685660868826,0,0,0,0,-208.699966,581.8454,1151.30762,1600.71423
1685660868929,0,0,0,0,-208.699966,577.378052,1154.80432,1598.71838
1685660869024,0,0,0,0,-208.699966,-1.15825164,1.59672284,0.5761802
1685660869123,0,0,0,0,-208.699966,-1.161445,1.594626,0.576858044
1685660869222,0,0,0,0,-208.699966,-1.16285,1.59527218,0.57517606
1685660869320,0,0,0,0,-208.699966,-1.16222715,1.59652054,0.572045445
1685660869433,0,0,0,0,-208.699966,-1.160161,1.59765244,0.568699837
1685660869518,0,0,0,0,-208.699966,-1.15741086,1.59677863,0.566846
1685660869627,0,0,0,0,-208.699966,-1.15028512,1.59724307,0.56765455
1685660869724,0,0,0,0,-208.699966,-1.14349723,1.59458923,0.567672551
1685660869822,0,0,0,0,-208.699966,-1.14004207,1.58500516,0.56538856
1685660869920,0,0,0,0,-208.699966,-1.14025772,1.58290458,0.5594471
1685660870022,0,0,0,0,-208.699966,-1.14261973,1.58636856,0.55388
1685660870128,0,0,0,0,-208.699966,-1.14819276,1.58987927,0.548173964
1685660870227,0,0,0,0,-208.699966,-1.15311754,1.58942735,0.543561339
1685660870329,0,0,0,0,-208.699966,-1.15426409,1.58872759,0.5392069
1685660870421,0,0,0,0,-208.699966,-1.153498,1.59122527,0.5374939
1685660870519,0,0,0,0,-208.699966,-1.15335691,1.59411407,0.538227558
1685660870637,0,0,0,0,-208.699966,-1.15263379,1.59512568,0.537723064
1685660870728,0,0,0,0,-208.699966,-1.14872122,1.594832,0.537326932
1685660870825,0,0,0,0,-208.699966,-1.13765419,1.59651124,0.5399547
1685660870922,0,0,0,0,-208.699966,-1.12573671,1.60101509,0.543267
1685660871020,0,0,0,0,-208.699966,-1.11583138,1.60801649,0.548465848
1685660871132,0,0,0,0,-208.699966,-1.10881364,1.61414528,0.557068467
1685660871229,0,0,0,0,-208.699966,-1.10819864,1.615154,0.563986957
1685660871327,0,0,0,0,-208.699966,-1.11196125,1.61427093,0.56628567
1685660871425,0,0,0,0,-208.699966,-1.11781693,1.61376572,0.563919
1685660871522,0,0,0,0,-208.699966,-1.12354839,1.61320019,0.561527848
1685660871619,0,0,0,0,-208.699966,-1.12748718,1.61057222,0.56005466
1685660871730,0,0,0,0,-208.699966,-1.12656724,1.609455,0.55853343
1685660871833,0,0,0,0,-208.699966,-1.12476838,1.61123943,0.55815053
1685660871926,0,0,0,0,-208.699966,-1.12408221,1.61146617,0.557873845
1685660872022,0,0,0,0,-208.699966,-1.1233263,1.61168063,0.556841135
1685660872120,0,0,0,0,-208.699966,-1.12307692,1.61212,0.556693554
1685660872218,0,0,0,0,-208.699966,-1.12368,1.61221576,0.556293368
1685660872320,0,0,0,0,-208.699966,-1.12485826,1.61005735,0.555497944
1685660872427,0,0,0,0,-208.699966,-1.12720108,1.60548556,0.556030035
1685660872525,0,0,0,0,-208.699966,-1.12787378,1.610122,0.554647744
1685660872628,0,0,0,0,-208.699966,-1.12822509,1.61563516,0.553308249
1685660872719,0,0,0,0,-208.699966,-1.12846732,1.61732328,0.5550461
1685660872831,0,0,0,0,-208.699966,-1.12912023,1.61646116,0.561415434
1685660872934,0,0,0,0,-208.699966,-1.13041449,1.61389709,0.5679129
1685660873026,0,0,0,0,-208.699966,-1.131084,1.611925,0.5709631
1685660873123,0,0,0,0,-208.699966,-1.13191271,1.61090088,0.5716505
1685660873220,0,0,0,0,-208.699966,-1.1325711,1.610192,0.570684254
1685660873331,0,0,0,0,-208.699966,-1.13323081,1.60951543,0.569027841
1685660873429,0,0,0,0,-208.699966,-1.13370872,1.60887182,0.5675633
1685660873527,0,0,0,0,-208.699966,-1.13403559,1.60844052,0.5658638
1685660873632,0,0,0,0,-208.699966,-1.13444853,1.6075238,0.5636281
1685660873721,0,0,0,0,-208.699966,-1.13709676,1.60264111,0.5612974
1685660873833,0,0,0,0,-208.699966,-1.13853586,1.59689486,0.5599073
1685660873919,0,0,0,0,-208.699966,-1.13800716,1.59675288,0.5575797
1685660874028,0,0,0,0,-208.699966,-1.13754129,1.5987401,0.5559162
1685660874125,0,0,0,0,-208.6853,-1.1365205,1.59844768,0.5563042
1685660874222,0,0,0,0,-208.586884,-1.13526058,1.59954548,0.557603955
1685660874320,0,0,0,0,-208.479019,-1.13383079,1.600333,0.5583936
1685660874430,0,0,0,0,-208.377457,-1.13182342,1.60206056,0.558873534
1685660874527,0,0,0,0,-208.279022,-1.12978446,1.60319161,0.559583
1685660874625,0,0,0,0,-208.173264,-1.12844777,1.60351682,0.5584004
1685660874725,0,0,0,0,-208.081116,-1.12893689,1.60271049,0.5563525
1685660874820,0,0,0,0,-207.9827,-1.129915,1.58721435,0.55193603
1685660874923,0,0,0,0,-207.885315,-1.12598729,1.55363047,0.5443228
