Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685661393923,0,0,0,0,-208.699966,0,-0.43,-0.38
1685661394029,0,0,0,0,-208.699966,0,-0.43,-0.38
1685661395317,0,0,0,0,-208.699966,2829.90259,-1484.57874,1133.41309
1685661395346,0,0,0,0,-208.699966,2829.503,-1484.01135,1133.47119
1685661395362,0,0,0,0,-208.699966,2829.45532,-1483.89514,1133.50366
1685661395369,0,0,0,0,-208.699966,2829.4248,-1483.84949,1133.51477
1685661395454,0,0,0,0,-208.699966,2829.82764,-1484.4696,1133.34241
1685661395556,0,0,0,0,-208.699966,2829.42383,-1483.987,1133.52112
1685661395654,0,0,0,0,-208.699966,2829.05273,-1483.3429,1133.65686
1685661395756,0,0,0,0,-208.699966,2829.356,-1483.77112,1133.56091
1685661395854,0,0,0,0,-208.699966,2830.116,-1484.88245,1133.25684
1685661395955,0,0,0,0,-208.699966,2829.78662,-1484.434,1133.46338
1685661396054,0,0,0,0,-208.699966,2829.72168,-1484.36414,1133.41943
1685661396154,0,0,0,0,-208.699966,2830.03882,-1484.81213,1133.25757
1685661396256,0,0,0,0,-208.699966,2829.86353,-1484.53564,1133.33972
1685661396355,0,0,0,0,-208.699966,2830.3208,-1485.19739,1133.16138
1685661396454,0,0,0,0,-208.699966,2829.84863,-1484.46387,1133.32544
1685661396555,0,0,0,0,-208.699966,2830.07422,-1484.78455,1133.29993
1685661396655,0,0,0,0,-208.699966,2829.65332,-1484.20435,1133.40674
1685661396755,0,0,0,0,-208.699966,2829.18213,-1483.46326,1133.61987
1685661396854,0,0,0,0,-208.699966,2830.19019,-1485.06958,1133.21094
1685661396954,0,0,0,0,-208.699966,2830.108,-1484.902,1133.21143
1685661397055,0,0,0,0,-208.699966,2829.43872,-1483.87341,1133.53772
1685661397154,0,0,0,0,-208.699966,2829.30566,-1483.63843,1133.71411
1685661397254,0,0,0,0,-208.699966,2829.74854,-1484.33325,1133.381
1685661397356,0,0,0,0,-208.699966,2829.45,-1483.79321,1133.48792
1685661397454,0,0,0,0,-208.699966,2829.008,-1483.142,1133.71887
1685661397556,0,0,0,0,-208.699966,2829.09131,-1483.29236,1133.63867
1685661397655,0,0,0,0,-208.699966,2829.95459,-1484.62549,1133.31055
1685661397754,0,0,0,0,-208.699966,2829.43384,-1483.864,1133.47668
1685661397854,0,0,0,0,-208.699966,2829.49146,-1483.94348,1133.47681
1685661397955,0,0,0,0,-208.699966,2829.54565,-1483.992,1133.50793
1685661398055,0,0,0,0,-208.699966,2829.44067,-1483.83569,1133.49475
1685661398155,0,0,0,0,-208.699966,2829.422,-1483.80225,1133.61658
1685661398266,0,0,0,0,-208.699966,2829.48877,-1483.94092,1133.525
1685661398354,0,0,0,0,-208.699966,2829.83081,-1484.5332,1133.47339
1685661398454,0,0,0,0,-208.699966,2829.71118,-1484.23462,1133.39954
1685661398555,0,0,0,0,-208.699966,2829.28784,-1483.69153,1133.571
1685661398655,0,0,0,0,-208.699966,2829.43774,-1483.76257,1133.46484
1685661398756,0,0,0,0,-208.694733,2829.28516,-1483.57141,1133.5249
1685661398855,0,0,0,0,-208.607819,2829.80737,-1484.409,1133.326
1685661398957,0,0,0,0,-208.509476,2829.69751,-1484.18127,1133.43958
1685661399055,0,0,0,0,-208.4227,2829.22168,-1483.57227,1133.66785
1685661399154,0,0,0,0,-208.335953,2829.391,-1483.76123,1133.55176
1685661399254,0,0,0,0,-208.2471,2829.95386,-1484.613,1133.26636
1685661399355,0,0,0,0,-208.1614,2829.97021,-1484.549,1133.34058
1685661399454,0,0,0,0,-208.074738,2829.781,-1484.27759,1133.36389
1685661399555,0,0,0,0,-207.9882,2829.43677,-1483.79456,1133.50085
1685661399656,0,0,0,0,-207.897629,2829.59351,-1484.00476,1133.46863
1685661399755,0,0,0,0,-207.811234,2829.78882,-1484.28052,1133.3446
1685661399855,0,0,0,0,-207.7238,2829.93164,-1484.458,1133.342
1685661399956,0,0,0,0,-207.638443,2829.277,-1483.49255,1133.6001
1685661400057,0,0,0,0,-207.551,2829.64355,-1484.09766,1133.44482
1685661400156,0,0,0,0,-207.465637,2829.88062,-1484.38464,1133.37585
1685661400253,0,0,0,0,-207.381317,2829.5918,-1483.90881,1133.48
1685661400354,0,0,0,0,-207.297012,2829.48633,-1483.79248,1133.5979
1685661400455,0,0,0,0,-207.2106,2830.17627,-1484.83655,1133.35437
1685661400555,0,0,0,0,-207.1263,2829.95264,-1484.42957,1133.33875
1685661400654,0,0,0,0,-207.041977,2829.93384,-1484.4043,1133.40942
1685661400756,0,0,0,0,-206.953491,2829.692,-1484.06433,1133.50122
1685661400856,0,0,0,0,-206.863983,2830.45532,-1485.07983,1133.23242
1685661400954,0,0,0,0,-206.779663,2829.33032,-1483.45129,1133.6571
1685661401055,0,0,0,0,-206.693268,2829.82568,-1484.21777,1133.44836
1685661401155,0,0,0,0,-206.603745,2829.97437,-1484.5741,1133.39307
1685661401256,0,0,0,0,-206.518387,2829.41675,-1483.707,1133.637
1685661401354,0,0,0,0,-206.431992,2829.43213,-1483.78308,1133.5874
1685661401456,0,0,0,0,-206.344543,2829.45239,-1483.771,1133.60449
1685661401555,0,0,0,0,-206.262314,2829.276,-1483.28821,1133.66626
1685661401655,0,0,0,0,-206.176956,2829.9502,-1484.30273,1133.46826
1685661401755,0,0,0,0,-206.089523,2830.02734,-1484.28381,1133.409
1685661401854,0,0,0,0,-206.004166,2829.70044,-1483.99023,1133.52014
1685661401955,0,0,0,0,-205.91568,2829.27,-1483.33826,1133.7052
1685661402054,0,0,0,0,-205.834488,2830.129,-1484.48535,1133.33545
1685661402156,0,0,0,0,-205.744965,2829.705,-1483.925,1133.558
1685661402256,0,0,0,0,-205.6565,2830.11938,-1484.50037,1133.33374
1685661402355,0,0,0,0,-205.573212,2829.63379,-1483.748,1133.51953
1685661402454,0,0,0,0,-205.485764,2829.94678,-1484.16492,1133.4585
1685661402555,0,0,0,0,-205.398331,2829.91846,-1484.11768,1133.368
1685661402656,0,0,0,0,-205.312973,2829.804,-1484.03381,1133.48
1685661402756,0,0,0,0,-205.222412,2829.64771,-1483.82581,1133.49487
1685661402854,0,0,0,0,-205.13913,2829.51978,-1483.50891,1133.65784
1685661402955,0,0,0,0,-205.0496,2830.23022,-1484.65149,1133.34021
1685661403054,0,0,0,0,-204.965286,2829.30469,-1483.23755,1133.69543
1685661403156,0,0,0,0,-204.873688,2829.19775,-1483.11194,1133.75745
1685661403255,0,0,0,0,-204.7873,2830.07739,-1484.4032,1133.36462
1685661403356,0,0,0,0,-204.700882,2829.54785,-1483.65,1133.502
1685661403454,0,0,0,0,-204.615524,2829.86572,-1484.179,1133.46692
1685661403554,0,0,0,0,-204.528076,2829.44214,-1483.50708,1133.56238
1685661403656,0,0,0,0,-204.438553,2829.43384,-1483.63708,1133.587
1685661403754,0,0,0,0,-204.354233,2829.845,-1484.12878,1133.41846
1685661403855,0,0,0,0,-204.267822,2829.20654,-1483.14014,1133.793
1685661403954,0,0,0,0,-204.183487,2828.88232,-1482.42651,1133.86682
1685661404054,0,0,0,0,-204.091827,2829.768,-1483.99951,1133.51746
1685661404155,0,0,0,0,-204.0064,2829.46484,-1483.52759,1133.66577
1685661404256,0,0,0,0,-203.916779,2829.18555,-1483.43665,1133.67566
1685661404354,0,0,0,0,-203.833374,2829.398,-1483.79187,1133.577
1685661404455,0,0,0,0,-203.743622,2829.55664,-1483.94263,1133.5188
1685661404554,0,0,0,0,-203.655884,2829.71753,-1484.17578,1133.43591
1685661404656,0,0,0,0,-203.568,2828.991,-1482.94519,1133.7699
1685661404754,0,0,0,0,-203.483246,2828.852,-1482.751,1133.8761
1685661404855,0,0,0,0,-203.394287,2829.029,-1483.25183,1133.71851
1685661404954,0,0,0,0,-203.305176,2829.39063,-1483.77039,1133.61218
1685661405056,0,0,0,0,-203.216843,2828.99438,-1483.22437,1133.80273
1685661405154,0,0,0,0,-203.132416,2829.071,-1483.305,1133.78369
1685661405256,0,0,0,0,-203.0385,2828.59326,-1482.64624,1133.93323
1685661405356,0,0,0,0,-202.950912,2828.71875,-1482.79211,1133.87329
1685661405455,0,0,0,0,-202.862015,2828.77832,-1482.83142,1133.9342
1685661405555,0,0,0,0,-202.773865,2828.827,-1482.97473,1133.84265
1685661405655,0,0,0,0,-202.685364,2829.0647,-1483.30652,1133.84814
1685661405754,0,0,0,0,-202.598969,2829.445,-1483.8313,1133.60376
1685661405855,0,0,0,0,-202.509369,2829.64917,-1484.05115,1133.50427
1685661405956,0,0,0,0,-202.41655,2829.63452,-1484.06921,1133.54822
1685661406055,0,0,0,0,-202.330948,2829.35718,-1483.476,1133.63867
1685661406155,0,0,0,0,-202.236481,2829.58813,-1483.56946,1133.61365
1685661406256,0,0,0,0,-202.14415,2829.38818,-1483.31274,1133.79138
1685661406354,0,0,0,0,-202.058258,2829.383,-1483.31982,1133.75537
1685661406454,0,0,0,0,-201.961639,2829.86523,-1484.05225,1133.518
1685661406554,0,0,0,0,-201.874512,2829.8313,-1484.07349,1133.55786
1685661406655,0,0,0,0,-201.78717,2829.85059,-1484.0752,1133.55444
1685661406755,0,0,0,0,-201.697662,2829.96826,-1484.33777,1133.47937
1685661406854,0,0,0,0,-201.606,2829.19458,-1483.12256,1133.78162
1685661406954,0,0,0,0,-201.51651,2829.37329,-1483.46753,1133.60046
1685661407067,0,0,0,0,-201.3968,2829.50562,-1483.72644,1133.6
1685661407156,0,0,0,0,-201.315628,2829.5376,-1483.83228,1133.67419
1685661407255,0,0,0,0,-201.222321,2829.87085,-1484.33252,1133.47046
1685661407356,0,0,0,0,-201.130066,2829.31641,-1483.57068,1133.63586
1685661407455,0,0,0,0,-201.041077,2829.95728,-1484.452,1133.40247
1685661407556,0,0,0,0,-200.954071,2829.05444,-1483.221,1133.862
1685661407654,0,0,0,0,-200.861359,2829.56616,-1483.897,1133.547
1685661407760,0,0,0,0,-200.773,2828.883,-1482.96008,1133.85217
1685661407856,0,0,0,0,-200.67807,2829.56665,-1484.04822,1133.56824
1685661407954,0,0,0,0,-200.588608,2829.82,-1484.39441,1133.46143
1685661408056,0,0,0,0,-200.496964,2829.09961,-1483.2771,1133.74658
1685661408153,0,0,0,0,-200.411682,2829.44922,-1483.81311,1133.6438
1685661408255,0,0,0,0,-200.308655,2829.529,-1483.81665,1133.62488
1685661408354,0,0,0,0,-200.217667,2829.702,-1484.13062,1133.53992
1685661408455,0,0,0,0,-200.1245,2829.45728,-1483.783,1133.72644
1685661408554,0,0,0,0,-200.0368,2829.65356,-1484.13611,1133.58447
1685661408657,0,0,0,0,-199.941238,2829.544,-1483.84143,1133.65784
1685661408755,0,0,0,0,-199.854462,2829.30078,-1483.55969,1133.7478
1685661408854,0,0,0,0,-199.762177,2829.27222,-1483.61279,1133.73645
1685661408957,0,0,0,0,-199.669891,2829.21216,-1483.46179,1133.77869
1685661409055,0,0,0,0,-199.5831,2829.66284,-1484.1615,1133.53528
1685661409155,0,0,0,0,-199.489655,2828.55078,-1482.45752,1134.042
1685661409255,0,0,0,0,-199.394974,2829.1792,-1483.495,1133.70972
1685661409356,0,0,0,0,-199.3003,2829.486,-1483.9928,1133.58691
1685661409454,0,0,0,0,-199.2133,2829.1582,-1483.39478,1133.70178
1685661409556,0,0,0,0,-199.117523,2829.00586,-1483.2301,1133.90039
1685661409654,0,0,0,0,-199.0272,2829.02759,-1483.22949,1133.78967
1685661409756,0,0,0,0,-198.933533,2828.94043,-1483.09363,1133.88831
1685661409854,0,0,0,0,-198.843185,2829.39526,-1483.74646,1133.71558
1685661409956,0,0,0,0,-198.747314,2829.933,-1484.62341,1133.46741
1685661410056,0,0,0,0,-198.658066,2829.42578,-1483.83655,1133.73
1685661410155,0,0,0,0,-198.566589,2829.69629,-1484.21362,1133.55981
