Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685481495599,0,0,0,0,-208.699966,0,-0.43,-0.38
1685481495731,0,0,0,0,-208.699966,0,-0.43,-0.38
1685481497289,0,0,0,0,-208.699966,596.541,1072.98108,1656.54529
1685481497351,0,0,0,0,-208.699966,596.0334,1072.45374,1656.38354
1685481497387,0,0,0,0,-208.699966,595.7064,1072.2063,1656.48071
1685481497405,0,0,0,0,-208.699966,595.6481,1072.16577,1656.54346
1685481497416,0,0,0,0,-208.699966,595.5863,1072.13062,1656.614
1685481497487,0,0,0,0,-208.699966,595.476746,1071.95911,1657.73047
1685481497582,0,0,0,0,-208.699966,595.500244,1071.65137,1658.50928
1685481497693,0,0,0,0,-208.699966,595.544556,1071.395,1659.48035
1685481497790,0,0,0,0,-208.699966,596.3153,1071.05908,1660.51135
1685481498020,0,0,0,0,-208.699966,597.5109,1071.22583,1661.36743
1685481498036,0,0,0,0,-208.699966,597.516235,1071.23193,1661.3634
1685481498094,0,0,0,0,-208.699966,-1.071227,1.661429,0.597542048
1685481498190,0,0,0,0,-208.699966,-1.070979,1.66159928,0.5976681
1685481498283,0,0,0,0,-208.699966,-1.0709163,1.6616472,0.597362041
1685481498380,0,0,0,0,-208.699966,-1.07097709,1.66178441,0.5969791
1685481498497,0,0,0,0,-208.699966,-1.071287,1.66193891,0.596510231
1685481498593,0,0,0,0,-208.699966,-1.07162881,1.66189587,0.5958751
1685481498686,0,0,0,0,-208.699966,-1.072052,1.66209912,0.5949446
1685481498786,0,0,0,0,-208.699966,-1.07241273,1.66185594,0.5932792
1685481498882,0,0,0,0,-208.699966,-1.07323718,1.658421,0.5881238
1685481498993,0,0,0,0,-208.699966,-1.07513237,1.64851046,0.583025038
1685481499092,0,0,0,0,-208.699966,-1.07749224,1.63366711,0.5789454
1685481499188,0,0,0,0,-208.699966,-1.080336,1.61024988,0.575051
1685481499288,0,0,0,0,-208.699966,-1.08251011,1.57966948,0.570972
1685481499382,0,0,0,0,-208.699966,-1.08239734,1.55510819,0.5655736
1685481499496,0,0,0,0,-208.699966,-1.081724,1.52305019,0.553028047
1685481499590,0,0,0,0,-208.699966,-1.08220911,1.50413477,0.5358706
1685481499688,0,0,0,0,-208.699966,-1.08155739,1.49141777,0.511619568
1685481499787,0,0,0,0,-208.699966,-1.0763514,1.48341167,0.488973737
1685481499889,0,0,0,0,-208.699966,-1.07315409,1.4805975,0.471846759
1685481499979,0,0,0,0,-208.699966,-1.07278061,1.47851455,0.4637057
1685481500091,0,0,0,0,-208.699966,-1.07307863,1.47757459,0.459534973
1685481500194,0,0,0,0,-208.699966,-1.07381725,1.47844076,0.458699942
1685481500287,0,0,0,0,-208.699966,-1.07391572,1.480651,0.461692572
1685481500383,0,0,0,0,-208.699966,-1.07757616,1.485556,0.470816582
1685481500481,0,0,0,0,-208.699966,-1.08449841,1.49175322,0.492156684
1685481500591,0,0,0,0,-208.699966,-1.090636,1.49829972,0.530987859
1685481500689,0,0,0,0,-208.699966,-1.08828652,1.50360906,0.5758537
1685481500787,0,0,0,0,-208.699966,-1.0782088,1.50348246,0.6119289
1685481500884,0,0,0,0,-208.699966,-1.07738149,1.51629865,0.6296476
1685481500980,0,0,0,0,-208.699966,-1.08587432,1.54441607,0.635640442
1685481501092,0,0,0,0,-208.699966,-1.09524167,1.57265353,0.631000042
1685481501188,0,0,0,0,-208.699966,-1.10286772,1.59010792,0.6194034
1685481501287,0,0,0,0,-208.699966,-1.11023331,1.60199678,0.59949106
1685481501383,0,0,0,0,-208.699966,-1.11615872,1.61055911,0.58066
1685481501624,0,0,0,0,-208.699966,-1.13380349,1.625534,0.5407498
1685481501636,0,0,0,0,-208.699966,-1.13464522,1.62563825,0.539339244
1685481501689,0,0,0,0,-208.699966,-1.13978422,1.625505,0.5313593
1685481501795,0,0,0,0,-208.699966,-1.14754653,1.62272453,0.5222388
1685481501883,0,0,0,0,-208.699966,-1.15195262,1.618242,0.5195066
1685481501984,0,0,0,0,-208.699966,-1.152183,1.61708879,0.5239079
1685481502099,0,0,0,0,-208.699966,-1.14389157,1.61888444,0.5389142
1685481502188,0,0,0,0,-208.699966,-1.1359756,1.61753607,0.5544118
1685481502287,0,0,0,0,-208.699966,-1.12588573,1.60606408,0.5744402
1685481502383,0,0,0,0,-208.699966,-1.11823893,1.59261441,0.5936013
1685481502480,0,0,0,0,-208.699966,-1.11309791,1.5795213,0.612251163
1685481502591,0,0,0,0,-208.699966,-1.112259,1.56426263,0.6166742
1685481502688,0,0,0,0,-208.699966,-1.11199772,1.55200255,0.606293738
1685481502786,0,0,0,0,-208.699966,-1.10889876,1.5379982,0.583173633
1685481502885,0,0,0,0,-208.699966,-1.10968733,1.53033173,0.5571914
1685481502980,0,0,0,0,-208.699966,-1.11652684,1.528987,0.5293595
1685481503092,0,0,0,0,-208.699966,-1.12740767,1.52887166,0.50906986
1685481503189,0,0,0,0,-208.699966,-1.14050984,1.53409052,0.505973756
1685481503287,0,0,0,0,-208.699966,-1.15224123,1.54507554,0.5173205
1685481503384,0,0,0,0,-208.699966,-1.156908,1.55801523,0.5324299
1685481503480,0,0,0,0,-208.699966,-1.15959144,1.57851863,0.550207436
1685481503591,0,0,0,0,-208.699966,-1.15904438,1.60100532,0.568663955
1685481503689,0,0,0,0,-208.699966,-1.15495718,1.617434,0.5832573
1685481503795,0,0,0,0,-208.699966,-1.14847815,1.63437033,0.5930065
1685481503883,0,0,0,0,-208.699966,-1.13940883,1.64774084,0.596011758
1685481503980,0,0,0,0,-208.699966,-1.12869835,1.65695643,0.593570948
1685481504101,0,0,0,0,-208.699966,-1.11751473,1.66379,0.58569
1685481504189,0,0,0,0,-208.699966,-1.11241734,1.66797054,0.579447865
1685481504286,0,0,0,0,-208.699966,-1.10873568,1.6721704,0.572800756
1685481504384,0,0,0,0,-208.699966,-1.1059618,1.67267728,0.5674147
1685481504481,0,0,0,0,-208.699966,-1.10521615,1.65953732,0.563915133
1685481504592,0,0,0,0,-208.699966,-1.10893464,1.64343464,0.5618493
1685481504689,0,0,0,0,-208.699966,-1.11356926,1.629075,0.5600131
1685481504787,0,0,0,0,-208.699966,-1.117905,1.62017381,0.563375354
1685481504884,0,0,0,0,-208.699966,-1.12276113,1.61425316,0.566467941
1685481504982,0,0,0,0,-208.699966,-1.12809277,1.6063565,0.5679282
1685481505092,0,0,0,0,-208.699966,-1.13059008,1.59609652,0.5727483
1685481505189,0,0,0,0,-208.699966,-1.13173974,1.59073412,0.5811673
1685481505288,0,0,0,0,-208.699966,-1.132895,1.59106827,0.586814165
1685481505386,0,0,0,0,-208.699966,-1.13473511,1.59369528,0.5865371
1685481505480,0,0,0,0,-208.699966,-1.1361593,1.59559476,0.581506
1685481505594,0,0,0,0,-208.699966,-1.13603818,1.59844768,0.5745843
1685481505689,0,0,0,0,-208.699966,-1.13419676,1.59957147,0.569260836
1685481505781,0,0,0,0,-208.699966,-1.13111651,1.59932935,0.5661112
1685481505885,0,0,0,0,-208.699966,-1.12763226,1.6002605,0.564028263
1685481505981,0,0,0,0,-208.699966,-1.1246103,1.60298,0.563115656
1685481506087,0,0,0,0,-208.699966,-1.12171555,1.60791206,0.563794732
1685481506189,0,0,0,0,-208.699966,-1.11993551,1.61683261,0.5642247
1685481506288,0,0,0,0,-208.699966,-1.118292,1.630273,0.563752055
1685481506392,0,0,0,0,-208.699966,-1.11592555,1.6446743,0.562469959
1685481506481,0,0,0,0,-208.699966,-1.11368573,1.652336,0.560197
1685481506593,0,0,0,0,-208.699966,-1.1123302,1.65441465,0.5578588
1685481506698,0,0,0,0,-208.699966,-1.11156726,1.655411,0.5576497
1685481506787,0,0,0,0,-208.699966,-1.11133075,1.65849793,0.558106
1685481506885,0,0,0,0,-208.699966,-1.11114824,1.66365123,0.5592258
1685481507025,0,0,0,0,-208.699966,-1.11216259,1.66735291,0.5602119
1685481507093,0,0,0,0,-208.699966,-1.11293459,1.66823268,0.560412049
1685481507195,0,0,0,0,-208.699966,-1.113373,1.67058229,0.5607867
1685481507288,0,0,0,0,-208.699966,-1.11332786,1.67272353,0.5607639
1685481507385,0,0,0,0,-208.699966,-1.11292362,1.675031,0.560452044
1685481507482,0,0,0,0,-208.699966,-1.111818,1.67779994,0.560031533
1685481507594,0,0,0,0,-208.699966,-1.10971248,1.68030727,0.5597759
1685481507690,0,0,0,0,-208.699966,-1.10756755,1.68204415,0.5595268
1685481507789,0,0,0,0,-208.699966,-1.105497,1.68322945,0.559514
1685481507886,0,0,0,0,-208.699966,-1.10392821,1.683814,0.5600127
1685481507983,0,0,0,0,-208.699966,-1.102349,1.68431365,0.5607306
1685481508082,0,0,0,0,-208.699966,-1.10147166,1.68467808,0.5613506
1685481508190,0,0,0,0,-208.699966,-1.10152924,1.68439651,0.561656058
1685481508287,0,0,0,0,-208.699966,-1.10186648,1.68437433,0.561678767
1685481508385,0,0,0,0,-208.699966,-1.10243785,1.684168,0.561969161
1685481508485,0,0,0,0,-208.699966,-1.1034224,1.6840018,0.562631547
1685481508593,0,0,0,0,-208.699966,-1.10449576,1.68379664,0.5637409
1685481508692,0,0,0,0,-208.699966,-1.10537243,1.68373716,0.564193666
1685481508788,0,0,0,0,-208.699966,-1.10629272,1.68348014,0.56437993
1685481508887,0,0,0,0,-208.699966,-1.107194,1.68300056,0.564161539
1685481508981,0,0,0,0,-208.699966,-1.10781169,1.681769,0.5635937
1685481509080,0,0,0,0,-208.699966,-1.10869992,1.67941916,0.563059866
1685481509182,0,0,0,0,-208.699966,-1.10989237,1.6749444,0.5630468
1685481509288,0,0,0,0,-208.699966,-1.11205053,1.66117871,0.5635207
1685481509387,0,0,0,0,-208.699966,-1.1144681,1.63444209,0.563732266
1685481509489,0,0,0,0,-208.699966,-1.11618459,1.60354137,0.5632619
1685481509593,0,0,0,0,-208.699966,-1.11834824,1.58245671,0.562256
1685481509691,0,0,0,0,-208.699966,-1.12128341,1.56952608,0.5605246
1685481509793,0,0,0,0,-208.699966,-1.123295,1.55520856,0.55576086
1685481509886,0,0,0,0,-208.699966,-1.12576067,1.54731965,0.547551036
1685481509982,0,0,0,0,-208.699966,-1.12714446,1.54306328,0.5345939
1685481510080,0,0,0,0,-208.699966,-1.12709212,1.539937,0.520102
1685481510190,0,0,0,0,-208.699966,-1.12648511,1.53849971,0.5072706
1685481510288,0,0,0,0,-208.699966,-1.125008,1.53478611,0.498345226
1685481510386,0,0,0,0,-208.699966,-1.12323189,1.52932882,0.491763383
1685481510483,0,0,0,0,-208.699966,-1.12243915,1.524541,0.4886915
1685481510594,0,0,0,0,-208.699966,-1.12203693,1.51932943,0.4863058
1685481510691,0,0,0,0,-208.699966,-1.1233747,1.51814592,0.485659629
1685481510787,0,0,0,0,-208.699966,-1.12568033,1.51861644,0.4868364
1685481510886,0,0,0,0,-208.699966,-1.12874711,1.520888,0.49097982
1685481510983,0,0,0,0,-208.699966,-1.13331985,1.52611339,0.499853343
1685481511079,0,0,0,0,-208.699966,-1.14000165,1.53617907,0.514508367
1685481511191,0,0,0,0,-208.699966,-1.15382421,1.56162441,0.531385362
1685481511288,0,0,0,0,-208.699966,-1.14977145,1.56515026,0.54584825
1685481511386,0,0,0,0,-208.699966,-1.15136349,1.5771246,0.5552721
1685481511483,0,0,0,0,-208.699966,-1.14961135,1.58861363,0.560528934
1685481511580,0,0,0,0,-208.699966,-1.14318407,1.5890311,0.5651493
1685481511691,0,0,0,0,-208.699966,-1.14120471,1.60957837,0.5692771
1685481511780,0,0,0,0,-208.699966,-1.13499844,1.61072981,0.5723189
1685481511886,0,0,0,0,-208.699966,-1.13297677,1.62399685,0.5751621
1685481511983,0,0,0,0,-208.699966,-1.12989569,1.62375724,0.577526033
