Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685482120358,0,0,0,0,-208.699966,0,-0.43,-0.38
1685482120491,0,0,0,0,-208.699966,0,-0.43,-0.38
1685482122099,0,0,0,0,-208.699966,585.7879,864.6004,1662.70471
1685482122141,0,0,0,0,-208.699966,585.722046,864.1865,1663.093
1685482122174,0,0,0,0,-208.699966,585.579468,863.9201,1662.90027
1685482122195,0,0,0,0,-208.699966,585.5002,863.780151,1662.47974
1685482122214,0,0,0,0,-208.699966,585.477,863.6766,1661.87341
1685482122291,0,0,0,0,-208.699966,585.8189,863.573059,1658.875
1685482122388,0,0,0,0,-208.699966,586.821655,862.7156,1657.33435
1685482122499,0,0,0,0,-208.699966,587.241638,860.784241,1659.74475
1685482122596,0,0,0,0,-208.699966,586.350647,859.9957,1662.15747
1685482122693,0,0,0,0,-208.699966,587.300964,858.886536,1663.278
1685482122791,0,0,0,0,-208.699966,588.248169,857.003,1665.802
1685482122892,0,0,0,0,-208.699966,-0.854653239,1.6679157,0.5895157
1685482122990,0,0,0,0,-208.699966,-0.853243053,1.6686002,0.592349231
1685482123089,0,0,0,0,-208.699966,-0.8531504,1.66830063,0.59330225
1685482123187,0,0,0,0,-208.699966,-0.8537949,1.66898358,0.5905713
1685482123298,0,0,0,0,-208.699966,-0.855103552,1.66915548,0.586582065
1685482123389,0,0,0,0,-208.699966,-0.8570383,1.66865194,0.584107459
1685482123493,0,0,0,0,-208.699966,-0.859145761,1.66717684,0.582469761
1685482123590,0,0,0,0,-208.699966,-0.8607279,1.665503,0.581054866
1685482123699,0,0,0,0,-208.699966,-0.8623825,1.66343129,0.5788674
1685482123798,0,0,0,0,-208.699966,-0.8640803,1.65907216,0.5779243
1685482123897,0,0,0,0,-208.699966,-0.8658977,1.653014,0.5781181
1685482123999,0,0,0,0,-208.699966,-0.8671496,1.6515584,0.579205453
1685482124091,0,0,0,0,-208.699966,-0.867877543,1.65121746,0.5802497
1685482124189,0,0,0,0,-208.699966,-0.8689542,1.650567,0.5807115
1685482124287,0,0,0,0,-208.699966,-0.8698125,1.650236,0.581139266
1685482124398,0,0,0,0,-208.699966,-0.870294154,1.65072417,0.581688166
1685482124494,0,0,0,0,-208.699966,-0.8703289,1.65139854,0.5818246
1685482124592,0,0,0,0,-208.699966,-0.8703316,1.65193462,0.5816674
1685482124689,0,0,0,0,-208.699966,-0.8702149,1.65231693,0.5812691
1685482124786,0,0,0,0,-208.699966,-0.870302439,1.65283656,0.5805959
1685482124897,0,0,0,0,-208.699966,-0.8704427,1.65341485,0.5797924
1685482124994,0,0,0,0,-208.699966,-0.8705882,1.65395975,0.5790594
1685482125091,0,0,0,0,-208.699966,-0.8707316,1.653795,0.5788668
1685482125188,0,0,0,0,-208.699966,-0.870799661,1.65329123,0.579491436
1685482125286,0,0,0,0,-208.699966,-0.8707782,1.65323091,0.5804643
1685482125396,0,0,0,0,-208.699966,-0.8709069,1.65304887,0.5814719
1685482125495,0,0,0,0,-208.699966,-0.871096,1.65258741,0.5823277
1685482125591,0,0,0,0,-208.699966,-0.8714569,1.65204906,0.583371162
1685482125688,0,0,0,0,-208.699966,-0.8718601,1.65204012,0.584456
1685482125786,0,0,0,0,-208.699966,-0.8721965,1.652324,0.5853089
1685482125897,0,0,0,0,-208.699966,-0.873108566,1.65654564,0.5849886
1685482125987,0,0,0,0,-208.699966,-0.8731617,1.66118121,0.584244967
1685482126092,0,0,0,0,-208.699966,-0.8736576,1.66269529,0.583808243
1685482126189,0,0,0,0,-208.699966,-0.8750771,1.65723825,0.583084464
1685482126292,0,0,0,0,-208.699966,-0.877210557,1.65290415,0.5820978
1685482126397,0,0,0,0,-208.699966,-0.8790257,1.65151834,0.5821579
1685482126494,0,0,0,0,-208.699966,-0.8804659,1.65218031,0.5822377
1685482126597,0,0,0,0,-208.699966,-0.881511,1.65385175,0.5815792
1685482126689,0,0,0,0,-208.699966,-0.882191,1.651036,0.5809516
1685482126786,0,0,0,0,-208.699966,-0.882949948,1.647474,0.5810246
1685482126902,0,0,0,0,-208.699966,-0.882606447,1.650152,0.5818008
1685482126995,0,0,0,0,-208.699966,-0.8813753,1.65380275,0.5825963
1685482127165,0,0,0,0,-208.699966,-0.879605055,1.65399039,0.5826301
1685482127189,0,0,0,0,-208.699966,-0.8795272,1.6529634,0.582484663
1685482127287,0,0,0,0,-208.699966,-0.8788723,1.65246785,0.582177639
1685482127397,0,0,0,0,-208.699966,-0.8770213,1.65570772,0.5817942
1685482127486,0,0,0,0,-208.699966,-0.876200855,1.65684319,0.5811571
1685482127592,0,0,0,0,-208.699966,-0.876163,1.65476191,0.5801828
1685482127688,0,0,0,0,-208.699966,-0.875672162,1.65518236,0.5798578
1685482127792,0,0,0,0,-208.699966,-0.8749727,1.65599167,0.5797863
1685482127898,0,0,0,0,-208.699966,-0.874791265,1.655473,0.5800004
1685482127995,0,0,0,0,-208.699966,-0.8747665,1.65538609,0.579998136
1685482128099,0,0,0,0,-208.699966,-0.8749933,1.655481,0.5796409
1685482128189,0,0,0,0,-208.699966,-0.8754468,1.655255,0.5793146
1685482128287,0,0,0,0,-208.699966,-0.8761918,1.65468824,0.5794968
1685482128405,0,0,0,0,-208.699966,-0.8769237,1.65442228,0.579900146
1685482128494,0,0,0,0,-208.699966,-0.877332747,1.65432072,0.580112
1685482128592,0,0,0,0,-208.699966,-0.877542853,1.65420175,0.5800711
1685482128689,0,0,0,0,-208.699966,-0.877419353,1.65415919,0.5798599
1685482128787,0,0,0,0,-208.699966,-0.877066731,1.65454388,0.5796517
1685482128897,0,0,0,0,-208.699966,-0.876527369,1.654552,0.57964474
1685482128995,0,0,0,0,-208.699966,-0.876069,1.65480018,0.5797216
1685482129092,0,0,0,0,-208.699966,-0.8759139,1.65509915,0.5800971
1685482129189,0,0,0,0,-208.699966,-0.876034737,1.65489829,0.5810188
1685482129287,0,0,0,0,-208.699966,-0.876357734,1.65455854,0.581118345
1685482129398,0,0,0,0,-208.699966,-0.876505136,1.654459,0.581008434
1685482129495,0,0,0,0,-208.699966,-0.876189,1.654623,0.5813097
1685482129592,0,0,0,0,-208.699966,-0.875914156,1.654905,0.5816596
1685482129689,0,0,0,0,-208.699966,-0.8757978,1.65506518,0.5817988
1685482129787,0,0,0,0,-208.699966,-0.876002669,1.65505493,0.5815147
1685482129898,0,0,0,0,-208.699966,-0.876342654,1.65513825,0.5809371
1685482129996,0,0,0,0,-208.699966,-0.876582146,1.65528572,0.5808702
1685482130091,0,0,0,0,-208.699966,-0.876736641,1.65560007,0.580852032
1685482130188,0,0,0,0,-208.660172,-0.8767858,1.65557039,0.580807
1685482130287,0,0,0,0,-208.561752,-0.8769754,1.65517151,0.580928564
1685482130397,0,0,0,0,-208.450745,-0.8771069,1.65511739,0.5811063
1685482130495,0,0,0,0,-208.353363,-0.876924634,1.65471077,0.581300139
1685482130592,0,0,0,0,-208.253891,-0.8763381,1.65395486,0.5812417
1685482130689,0,0,0,0,-208.155457,-0.877251565,1.65378428,0.5799027
1685482130787,0,0,0,0,-208.0582,-0.8827404,1.65085733,0.5772359
1685482130898,0,0,0,0,-207.945618,-0.891259968,1.63750577,0.5768423
1685482130995,0,0,0,0,-207.849228,-0.897215068,1.623796,0.5770453
1685482131091,0,0,0,0,-207.751312,-0.9026996,1.6211226,0.5799282
1685482131189,0,0,0,0,-207.646942,-0.9088038,1.62413323,0.583298266
1685482131287,0,0,0,0,-207.55928,-0.908190966,1.62273,0.5890453
1685482131398,0,0,0,0,-207.451233,-0.9084692,1.637221,0.6004195
1685482131641,0,0,0,0,-207.209656,-0.9449238,1.65173507,0.609439969
1685482131668,0,0,0,0,-207.184174,-0.953316,1.64815283,0.608078241
