Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685483671167,0,0,0,0,-208.699966,0,-0.43,-0.38
1685483671301,0,0,0,0,-208.699966,0,-0.43,-0.38
1685483673096,0,0,0,0,-208.699966,582.562866,1026.04443,1647.66809
1685483673150,0,0,0,0,-208.699966,582.839661,1026.07019,1647.53442
1685483673186,0,0,0,0,-208.699966,582.957764,1026.05884,1647.41284
1685483673205,0,0,0,0,-208.699966,583.023438,1026.0675,1647.39673
1685483673218,0,0,0,0,-208.699966,583.050659,1026.07764,1647.398
1685483673287,0,0,0,0,-208.699966,583.3291,1025.93921,1647.29578
1685483673386,0,0,0,0,-208.699966,583.6065,1025.4834,1647.45752
1685483673481,0,0,0,0,-208.699966,583.7642,1024.95,1647.82886
1685483673593,0,0,0,0,-208.699966,583.4252,1024.48914,1648.07214
1685483673698,0,0,0,0,-208.699966,582.972961,1024.61035,1648.32751
1685483673787,0,0,0,0,-208.699966,582.8938,1024.90479,1648.12622
1685483673887,0,0,0,0,-208.699966,-1.02520025,1.64784384,0.5833531
1685483673986,0,0,0,0,-208.699966,-1.02531481,1.64783573,0.5837455
1685483674084,0,0,0,0,-208.699966,-1.02556038,1.64801037,0.583279133
1685483674182,0,0,0,0,-208.699966,-1.02585852,1.64842713,0.5825106
1685483674279,0,0,0,0,-208.699966,-1.026022,1.64844775,0.582225859
1685483674391,0,0,0,0,-208.699966,-1.02601671,1.64840472,0.5824286
1685483674489,0,0,0,0,-208.699966,-1.02578521,1.64850867,0.582440257
1685483674586,0,0,0,0,-208.699966,-1.02567136,1.64868391,0.582075536
1685483674683,0,0,0,0,-208.699966,-1.0262562,1.6484102,0.580218732
1685483674782,0,0,0,0,-208.699966,-1.0282954,1.64620447,0.5697242
1685483674892,0,0,0,0,-208.699966,-1.03099227,1.6375128,0.5518138
1685483674989,0,0,0,0,-208.699966,-1.03280151,1.62287533,0.540808439
1685483675083,0,0,0,0,-208.699966,-1.034667,1.60346973,0.53701
1685483675183,0,0,0,0,-208.699966,-1.03688836,1.58002651,0.535412967
1685483675281,0,0,0,0,-208.699966,-1.04091632,1.55956686,0.5367336
1685483675385,0,0,0,0,-208.699966,-1.04500937,1.54063654,0.539390564
1685483675487,0,0,0,0,-208.699966,-1.050417,1.52399719,0.5372232
