Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685484941463,0,0,0,0,-208.699966,0,-0.43,-0.38
1685484941588,0,0,0,0,-208.699966,0,-0.43,-0.38
1685484943204,0,0,0,0,-208.699966,584.993164,1060.15686,1620.5885
1685484943247,0,0,0,0,-208.699966,586.3867,1062.52991,1619.52869
1685484943280,0,0,0,0,-208.699966,587.524841,1066.998,1619.82581
1685484943300,0,0,0,0,-208.699966,588.0259,1069.399,1619.84644
1685484943315,0,0,0,0,-208.699966,588.220642,1070.63354,1619.80847
1685484943398,0,0,0,0,-208.699966,590.1375,1079.57568,1619.20349
1685484943494,0,0,0,0,-208.699966,592.1984,1090.51208,1621.79578
1685484943606,0,0,0,0,-208.699966,592.3641,1098.565,1624.74585
1685484943703,0,0,0,0,-208.699966,590.172,1101.81238,1629.7738
1685484943800,0,0,0,0,-208.699966,588.4779,1102.05017,1636.9353
1685484943897,0,0,0,0,-208.699966,587.620056,1100.63452,1642.43054
1685484943997,0,0,0,0,-208.699966,-1.09859586,1.64721417,0.5879373
1685484944096,0,0,0,0,-208.699966,-1.09631264,1.65211666,0.588158667
1685484944194,0,0,0,0,-208.699966,-1.0932914,1.6560117,0.588528633
1685484944306,0,0,0,0,-208.699966,-1.08968937,1.6589812,0.589737058
1685484944403,0,0,0,0,-208.699966,-1.08674383,1.66150081,0.5900121
1685484944493,0,0,0,0,-208.699966,-1.08467543,1.66281688,0.58906883
1685484944597,0,0,0,0,-208.699966,-1.08276582,1.66062081,0.585980654
1685484944695,0,0,0,0,-208.699966,-1.081331,1.66067863,0.5817621
1685484944801,0,0,0,0,-208.699966,-1.08017552,1.66366255,0.5773274
1685484944904,0,0,0,0,-208.699966,-1.07971525,1.66725338,0.572686732
1685484945001,0,0,0,0,-208.699966,-1.0794003,1.67281592,0.5674926
1685484945105,0,0,0,0,-208.699966,-1.07828712,1.677902,0.5627441
1685484945197,0,0,0,0,-208.699966,-1.07686245,1.68167424,0.559652448
1685484945292,0,0,0,0,-208.699966,-1.07488871,1.68562984,0.5581798
1685484945410,0,0,0,0,-208.699966,-1.07368124,1.689911,0.55667007
1685484945501,0,0,0,0,-208.699966,-1.07325864,1.692286,0.555332363
1685484945600,0,0,0,0,-208.699966,-1.07264924,1.69391453,0.555357
1685484945696,0,0,0,0,-208.699966,-1.071972,1.695664,0.5573329
1685484945793,0,0,0,0,-208.699966,-1.07088733,1.6995635,0.56049633
1685484945905,0,0,0,0,-208.699966,-1.06800461,1.7039572,0.5646446
1685484946002,0,0,0,0,-208.699966,-1.06629634,1.70454717,0.5656343
1685484946100,0,0,0,0,-208.699966,-1.06706345,1.70162034,0.562954
1685484946198,0,0,0,0,-208.699966,-1.06782365,1.69907141,0.5578557
1685484946294,0,0,0,0,-208.699966,-1.06746423,1.69727623,0.5518767
1685484946393,0,0,0,0,-208.699966,-1.06644654,1.6968379,0.548651636
1685484946503,0,0,0,0,-208.699966,-1.06571722,1.69714093,0.548600733
1685484946602,0,0,0,0,-208.699966,-1.0655756,1.69688189,0.5507147
1685484946697,0,0,0,0,-208.699966,-1.06537592,1.69621682,0.55332756
1685484946794,0,0,0,0,-208.699966,-1.06462038,1.69615209,0.556156456
1685484946905,0,0,0,0,-208.699966,-1.06332242,1.69657564,0.5595231
1685484947003,0,0,0,0,-208.699966,-1.06246567,1.69663322,0.5628639
1685484947100,0,0,0,0,-208.699966,-1.06232309,1.69569778,0.5650137
1685484947197,0,0,0,0,-208.699966,-1.0625838,1.69462931,0.564878
1685484947410,0,0,0,0,-208.699966,-1.06303787,1.694207,0.5632848
1685484947431,0,0,0,0,-208.699966,-1.06350875,1.69413137,0.5621955
1685484947495,0,0,0,0,-208.699966,-1.06393838,1.69411433,0.5619612
1685484947600,0,0,0,0,-208.699966,-1.06513536,1.69373739,0.562284
1685484947697,0,0,0,0,-208.699966,-1.0664041,1.69248879,0.5630271
1685484947800,0,0,0,0,-208.699966,-1.068388,1.6893065,0.564320743
1685484947907,0,0,0,0,-208.699966,-1.06984627,1.68815911,0.565294
1685484948003,0,0,0,0,-208.699966,-1.068968,1.690364,0.564996243
1685484948107,0,0,0,0,-208.699966,-1.06520534,1.69947791,0.5633867
1685484948197,0,0,0,0,-208.699966,-1.06176746,1.7042315,0.561164558
1685484948294,0,0,0,0,-208.699966,-1.06185007,1.70218825,0.559688747
1685484948412,0,0,0,0,-208.699966,-1.06526887,1.69220519,0.5609537
1685484948503,0,0,0,0,-208.699966,-1.066711,1.68401563,0.5636453
1685484948600,0,0,0,0,-208.699966,-1.06618619,1.68577051,0.565183163
1685484948697,0,0,0,0,-208.699966,-1.06319022,1.69167447,0.56497395
1685484948794,0,0,0,0,-208.699966,-1.060464,1.69351983,0.564508438
1685484948905,0,0,0,0,-208.699966,-1.06169331,1.68816769,0.5644766
1685484949002,0,0,0,0,-208.699966,-1.06447446,1.68081427,0.563998759
1685484949100,0,0,0,0,-208.699966,-1.066958,1.6749748,0.5626759
1685484949197,0,0,0,0,-208.699966,-1.06755209,1.67552,0.562365055
1685484949293,0,0,0,0,-208.699966,-1.06660771,1.67959607,0.562281847
1685484949405,0,0,0,0,-208.699966,-1.0653038,1.68547726,0.563482344
1685484949502,0,0,0,0,-208.699966,-1.06459212,1.68728042,0.5645172
1685484949601,0,0,0,0,-208.699966,-1.06589293,1.68575633,0.564488947
1685484949697,0,0,0,0,-208.699966,-1.06779337,1.68303668,0.5642034
1685484949795,0,0,0,0,-208.699966,-1.06979537,1.68029559,0.5640032
1685484949905,0,0,0,0,-208.699966,-1.07112241,1.67914009,0.563735664
1685484950005,0,0,0,0,-208.699966,-1.07177043,1.67927754,0.563307643
1685484950100,0,0,0,0,-208.699966,-1.07227921,1.68042946,0.563686669
1685484950197,0,0,0,0,-208.699966,-1.07289922,1.680461,0.565218866
1685484950294,0,0,0,0,-208.699966,-1.07370925,1.67926192,0.5682067
1685484950396,0,0,0,0,-208.699966,-1.07425845,1.67853928,0.5718628
1685484950501,0,0,0,0,-208.699966,-1.07433116,1.67759025,0.576043546
1685484950600,0,0,0,0,-208.699966,-1.07462227,1.67773306,0.5806437
1685484950736,0,0,0,0,-208.699966,-1.07501554,1.67787528,0.58606565
1685484950794,0,0,0,0,-208.699966,-1.07495058,1.67754209,0.5867073
1685484950899,0,0,0,0,-208.699966,-1.07493436,1.67981553,0.5839951
1685484951001,0,0,0,0,-208.699966,-1.07548511,1.68129671,0.5777062
1685484951101,0,0,0,0,-208.699966,-1.077121,1.68073654,0.5676091
1685484951196,0,0,0,0,-208.699966,-1.078778,1.67889345,0.556126654
1685484951293,0,0,0,0,-208.622482,-1.08099139,1.675671,0.5426964
1685484951405,0,0,0,0,-208.510437,-1.08448958,1.67220616,0.5307285
1685484951501,0,0,0,0,-208.413055,-1.08848643,1.66923189,0.523290634
1685484951598,0,0,0,0,-208.314621,-1.09155965,1.66859329,0.520503461
1685484951696,0,0,0,0,-208.218292,-1.09331119,1.66848612,0.523040652
1685484951793,0,0,0,0,-208.114624,-1.09480572,1.67147529,0.5305004
1685484951904,0,0,0,0,-208.007813,-1.09558678,1.675442,0.544251263
1685484952004,0,0,0,0,-207.910431,-1.09776127,1.67991018,0.5588906
1685484952093,0,0,0,0,-207.825623,-1.10205221,1.67873037,0.5721606
1685484952197,0,0,0,0,-207.714615,-1.11148262,1.68390989,0.582227
1685484952295,0,0,0,0,-207.616165,-1.12431681,1.68511975,0.5837188
1685484952398,0,0,0,0,-207.518768,-1.138684,1.67247868,0.5777163
1685484952503,0,0,0,0,-207.407745,-1.154956,1.6651057,0.564713955
1685484952599,0,0,0,0,-207.30925,-1.166371,1.66477859,0.5516054
1685484952702,0,0,0,0,-207.2107,-1.1736207,1.67759252,0.545563936
1685484952793,0,0,0,0,-207.113113,-1.17942214,1.68880558,0.5481219
1685484952904,0,0,0,0,-207.000717,-1.18937266,1.68549287,0.556878
1685484953008,0,0,0,0,-206.903931,-1.19953656,1.65529907,0.565692961
1685484953099,0,0,0,0,-206.804764,-1.20563412,1.651528,0.575697064
1685484953206,0,0,0,0,-206.705246,-1.20505929,1.67176521,0.5825413
1685484953293,0,0,0,0,-206.607681,-1.19970119,1.67782712,0.5857755
1685484953404,0,0,0,0,-206.4942,-1.19124,1.67320251,0.5864966
1685484953501,0,0,0,0,-206.396637,-1.18329632,1.66092408,0.58384645
1685484953599,0,0,0,0,-206.296951,-1.17634571,1.64976525,0.571340859
1685484953696,0,0,0,0,-206.199326,-1.17081058,1.65572166,0.556634665
1685484953793,0,0,0,0,-206.100525,-1.165402,1.66501009,0.541287065
1685484953905,0,0,0,0,-205.9868,-1.161335,1.67262757,0.5332402
1685484954001,0,0,0,0,-205.882629,-1.15762007,1.67203033,0.532360554
1685484954099,0,0,0,0,-205.786972,-1.15545309,1.66583931,0.534738958
1685484954196,0,0,0,0,-205.685989,-1.15412474,1.65545321,0.5406356
1685484954293,0,0,0,0,-205.586044,-1.152177,1.65126336,0.553158462
1685484954404,0,0,0,0,-205.472214,-1.15224707,1.66849017,0.5657681
1685484954501,0,0,0,0,-205.372086,-1.159266,1.68105137,0.571163356
1685484954599,0,0,0,0,-205.270859,-1.16772723,1.67461276,0.5743282
1685484954696,0,0,0,0,-205.164291,-1.17457318,1.66587853,0.572714865
