Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1685485182672,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485182789,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184209,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184239,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184257,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184265,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184349,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184446,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184546,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184647,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184748,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184847,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485184948,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185049,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185146,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185248,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185353,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185450,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185549,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185650,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185746,0,0,0,0,-208.699966,0,-0.43,-0.38
1685485185848,0,0,0,0,-208.643417,0,-0.43,-0.38
1685485185946,0,0,0,0,-208.55127,0,-0.43,-0.38
1685485186046,0,0,0,0,-208.457031,0,-0.43,-0.38
1685485186146,0,0,0,0,-208.365936,0,-0.43,-0.38
1685485186246,0,0,0,0,-208.272736,0,-0.43,-0.38
1685485186348,0,0,0,0,-208.180588,0,-0.43,-0.38
1685485186448,0,0,0,0,-208.093689,0,-0.43,-0.38
1685485186549,0,0,0,0,-208.005722,0,-0.43,-0.38
1685485186647,0,0,0,0,-207.91568,0,-0.43,-0.38
1685485186746,0,0,0,0,-207.82666,0,-0.43,-0.38
1685485186846,0,0,0,0,-207.734528,0,-0.43,-0.38
1685485186947,0,0,0,0,-207.654938,0,-0.43,-0.38
1685485187119,0,0,0,0,-207.480072,0,-0.43,-0.38
1685485187147,0,0,0,0,-207.4497,0,-0.43,-0.38
