Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1683738574094,0,0,0,0,-208.699966,0,-0.43,-0.38
1683738574203,0,0,0,0,-208.699966,0,-0.43,-0.38
1683738575776,0,0,0,0,-208.699966,2882.92139,-1443.51514,1131.99146
1683738575826,0,0,0,0,-208.699966,2882.79614,-1443.411,1131.9718
1683738575907,0,0,0,0,-208.699966,2883.13525,-1443.70728,1132.005
1683738575920,0,0,0,0,-208.699966,2882.95386,-1443.44226,1132.0509
1683738575936,0,0,0,0,-208.699966,2882.89624,-1443.45007,1132.04858
1683738576016,0,0,0,0,-208.699966,2882.99316,-1443.53113,1131.94385
1683738576111,0,0,0,0,-208.699966,2882.933,-1443.49988,1131.95984
1683738576211,0,0,0,0,-208.699966,2882.9563,-1443.50317,1131.96436
1683738576316,0,0,0,0,-208.699966,2882.79346,-1443.333,1132.02686
1683738576415,0,0,0,0,-208.699966,2882.82471,-1443.38745,1132.11243
1683738576516,0,0,0,0,-208.699966,2883.1377,-1443.75354,1131.91907
1683738576614,0,0,0,0,-208.699966,2883.098,-1443.635,1131.9292
1683738576715,0,0,0,0,-208.699966,2882.83032,-1443.34766,1132.13782
1683738576818,0,0,0,0,-208.699966,2883.091,-1443.659,1131.97327
1683738576911,0,0,0,0,-208.699966,2882.69434,-1443.25549,1132.1239
1683738577015,0,0,0,0,-208.699966,2882.87,-1443.41736,1132.01624
1683738577111,0,0,0,0,-208.699966,2883.02124,-1443.60168,1131.99255
1683738577211,0,0,0,0,-208.699966,2882.77124,-1443.4082,1132.02966
1683738577311,0,0,0,0,-208.699966,2882.98877,-1443.52051,1132.00684
1683738577412,0,0,0,0,-208.699966,2883.06714,-1443.613,1131.91492
1683738577515,0,0,0,0,-208.699966,2883.07031,-1443.6554,1131.92578
1683738577613,0,0,0,0,-208.699966,2882.98926,-1443.56067,1131.98792
1683738577717,0,0,0,0,-208.699966,2883.03979,-1443.57166,1131.99829
1683738577812,0,0,0,0,-208.699966,2883.18384,-1443.81921,1131.85986
1683738577916,0,0,0,0,-208.699966,2883.04785,-1443.61621,1131.95093
1683738578017,0,0,0,0,-208.699966,2882.959,-1443.52063,1131.98254
1683738578114,0,0,0,0,-208.699966,2882.87769,-1443.46973,1132.02612
1683738578214,0,0,0,0,-208.699966,2882.76465,-1443.329,1132.09827
1683738578311,0,0,0,0,-208.699966,2882.88232,-1443.51807,1132.01819
1683738578412,0,0,0,0,-208.699966,2882.756,-1443.34521,1132.08228
1683738578510,0,0,0,0,-208.699966,2882.812,-1443.34888,1132.07764
1683738578613,0,0,0,0,-208.699966,2882.83447,-1443.46021,1132.03809
1683738578716,0,0,0,0,-208.699966,2882.95117,-1443.604,1132.013
1683738578815,0,0,0,0,-208.699966,2882.86,-1443.49438,1132.01782
1683738578916,0,0,0,0,-208.699966,2882.81445,-1443.47437,1131.99731
1683738579096,0,0,0,0,-208.699966,2882.76953,-1443.3407,1132.07629
1683738579115,0,0,0,0,-208.699966,2882.84668,-1443.47461,1132.05762
1683738579211,0,0,0,0,-208.699966,2882.88867,-1443.52759,1132.01941
1683738579309,0,0,0,0,-208.699966,2883.01538,-1443.60168,1131.99048
1683738579414,0,0,0,0,-208.699966,2883.06079,-1443.66943,1131.9552
