Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684190436739,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190436862,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438324,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438374,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438389,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438397,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438461,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438562,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438660,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438759,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438862,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190438960,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439061,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439160,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439261,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439361,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439460,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439561,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439662,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439761,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439859,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190439960,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440061,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440162,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440260,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440361,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440461,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440560,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440660,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440760,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440861,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190440961,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441060,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441162,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441260,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441360,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441461,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441561,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441662,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441760,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441861,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190441960,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442062,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442160,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442260,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442361,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442462,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442561,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442661,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190442762,0,0,0,0,-208.699966,0,-0.43,-0.38
