Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684190886412,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190886535,0,0,0,0,-208.699966,0,-0.43,-0.38
1684190888103,0,0,0,0,-208.699966,537.5033,1127.62634,1670.36829
1684190888151,0,0,0,0,-208.699966,536.969849,1125.725,1675.167
1684190888172,0,0,0,0,-208.699966,536.956,1125.41736,1676.81018
1684190888183,0,0,0,0,-208.699966,536.986938,1125.3302,1677.51843
1684190888195,0,0,0,0,-208.699966,537.0489,1125.31482,1678.12341
1684190888305,0,0,0,0,-208.699966,538.162354,1127.70435,1682.307
1684190888401,0,0,0,0,-208.699966,538.8087,1133.10364,1680.4248
1684190888500,0,0,0,0,-208.699966,538.234253,1138.03918,1676.64172
1684190888597,0,0,0,0,-208.699966,535.365845,1142.36328,1672.76733
1684190888695,0,0,0,0,-208.699966,531.920349,1144.852,1671.3302
1684190888806,0,0,0,0,-208.699966,529.922,1146.17175,1670.58044
1684190888905,0,0,0,0,-208.699966,-1.14683306,1.67089725,0.5299761
1684190889006,0,0,0,0,-208.699966,-1.147016,1.67143822,0.5305879
1684190889104,0,0,0,0,-208.699966,-1.14695454,1.672058,0.53121537
1684190889202,0,0,0,0,-208.699966,-1.14749563,1.67152166,0.5316177
1684190889300,0,0,0,0,-208.699966,-1.14831734,1.67222226,0.5322339
1684190889397,0,0,0,0,-208.699966,-1.14885175,1.67153609,0.532847345
1684190889495,0,0,0,0,-208.699966,-1.15005612,1.6693027,0.53358984
1684190889608,0,0,0,0,-208.699966,-1.151592,1.66644692,0.5355267
1684190889704,0,0,0,0,-208.699966,-1.1529628,1.66303623,0.5366587
1684190889802,0,0,0,0,-208.699966,-1.15609145,1.65671825,0.536962748
1684190889900,0,0,0,0,-208.699966,-1.16142607,1.63404536,0.5377746
1684190889998,0,0,0,0,-208.699966,-1.16774881,1.608199,0.538421035
1684190890095,0,0,0,0,-208.699966,-1.17150319,1.57069242,0.5399649
1684190890206,0,0,0,0,-208.699966,-1.16514575,1.5143218,0.542284966
1684190890303,0,0,0,0,-208.699966,-1.16762173,1.48057294,0.543162763
