Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684191661767,0,0,0,0,-208.699966,0,-0.43,-0.38
1684191661903,0,0,0,0,-208.699966,0,-0.43,-0.38
1684191663376,0,0,0,0,-208.699966,562.9217,921.79,1665.20422
1684191663419,0,0,0,0,-208.699966,564.4661,924.183655,1665.77332
1684191663445,0,0,0,0,-208.699966,565.6939,925.878052,1666.70642
1684191663456,0,0,0,0,-208.699966,566.1178,926.4516,1667.08081
1684191663471,0,0,0,0,-208.699966,566.8601,927.578064,1667.87988
1684191663567,0,0,0,0,-208.699966,569.176758,931.933044,1669.937
1684191663679,0,0,0,0,-208.699966,569.7625,934.9058,1672.85181
1684191663775,0,0,0,0,-208.699966,569.6498,936.458435,1673.2251
1684191663877,0,0,0,0,-208.699966,570.209167,939.388245,1673.61646
1684191663972,0,0,0,0,-208.699966,570.3228,941.9416,1673.14233
1684191664068,0,0,0,0,-208.699966,570.1892,943.0981,1673.21118
1684191664168,0,0,0,0,-208.699966,-0.9433823,1.67285466,0.5701318
1684191664268,0,0,0,0,-208.699966,-0.9426154,1.67327893,0.5688097
1684191664368,0,0,0,0,-208.699966,-0.941397667,1.67430937,0.5665293
1684191664479,0,0,0,0,-208.699966,-0.940157056,1.67457426,0.56460613
1684191664576,0,0,0,0,-208.699966,-0.9395118,1.6752845,0.5634812
1684191664675,0,0,0,0,-208.699966,-0.939303339,1.675489,0.56279695
1684191664772,0,0,0,0,-208.699966,-0.9395589,1.67531955,0.56300807
1684191664870,0,0,0,0,-208.699966,-0.940165162,1.67362249,0.5636388
1684191664967,0,0,0,0,-208.699966,-0.94093883,1.67181158,0.5647875
1684191665079,0,0,0,0,-208.699966,-0.9410857,1.67175472,0.5659064
1684191665176,0,0,0,0,-208.699966,-0.940364,1.67349935,0.5676287
1684191665274,0,0,0,0,-208.699966,-0.9387248,1.677558,0.570469856
1684191665372,0,0,0,0,-208.699966,-0.9364451,1.68188763,0.573215663
1684191665470,0,0,0,0,-208.699966,-0.933405,1.68694329,0.574830651
1684191665581,0,0,0,0,-208.699966,-0.92815423,1.68876231,0.575523853
1684191665677,0,0,0,0,-208.699966,-0.9279245,1.6788187,0.5756018
1684191665775,0,0,0,0,-208.699966,-0.9319174,1.63971329,0.5745637
1684191665873,0,0,0,0,-208.699966,-0.932680666,1.600332,0.5725436
1684191665970,0,0,0,0,-208.699966,-0.9328684,1.5841037,0.5708847
1684191666068,0,0,0,0,-208.699966,-0.9317129,1.58289993,0.573620856
1684191666180,0,0,0,0,-208.699966,-0.9300282,1.58616364,0.578060746
1684191666276,0,0,0,0,-208.699966,-0.9278027,1.59311688,0.580028057
1684191666375,0,0,0,0,-208.699966,-0.9254537,1.61531091,0.58457005
1684191666471,0,0,0,0,-208.699966,-0.917509,1.64774609,0.5894092
1684191666570,0,0,0,0,-208.699966,-0.909290969,1.66364026,0.5907808
1684191666667,0,0,0,0,-208.699966,-0.9056615,1.66936362,0.589606643
1684191666778,0,0,0,0,-208.699966,-0.9046566,1.67318773,0.589459
1684191666875,0,0,0,0,-208.699966,-0.903551161,1.6761229,0.5887485
1684191666973,0,0,0,0,-208.699966,-0.904467046,1.67860532,0.5862686
1684191667070,0,0,0,0,-208.699966,-0.9066272,1.679983,0.58511883
1684191667166,0,0,0,0,-208.699966,-0.9085912,1.68074119,0.5840761
1684191667279,0,0,0,0,-208.699966,-0.9109581,1.68113661,0.581403
1684191667442,0,0,0,0,-208.699966,-0.9140207,1.68233228,0.5803678
1684191667626,0,0,0,0,-208.699966,-0.916686356,1.6831615,0.580803037
1684191667649,0,0,0,0,-208.699966,-0.916905344,1.68305862,0.580886543
1684191667668,0,0,0,0,-208.699966,-0.9171536,1.68293679,0.5809862
1684191667780,0,0,0,0,-208.699966,-0.919268548,1.6823076,0.581458747
1684191667877,0,0,0,0,-208.699966,-0.9210266,1.68302822,0.581628
1684191667974,0,0,0,0,-208.699966,-0.9226665,1.68190026,0.580543041
1684191668072,0,0,0,0,-208.699966,-0.9246039,1.68166792,0.5799434
1684191668175,0,0,0,0,-208.699966,-0.926756144,1.68060541,0.5797485
1684191668268,0,0,0,0,-208.699966,-0.927848458,1.68030894,0.579144835
1684191668379,0,0,0,0,-208.699966,-0.9288863,1.68039346,0.579340041
1684191668477,0,0,0,0,-208.699966,-0.929593146,1.6796335,0.579753935
1684191668573,0,0,0,0,-208.699966,-0.9298073,1.67977488,0.5801921
1684191668672,0,0,0,0,-208.699966,-0.9295398,1.679844,0.580789
1684191668769,0,0,0,0,-208.699966,-0.928954661,1.68012071,0.580516636
1684191668881,0,0,0,0,-208.699966,-0.9283903,1.68048584,0.579778731
1684191668979,0,0,0,0,-208.699966,-0.9281664,1.6805141,0.5794567
1684191669075,0,0,0,0,-208.699966,-0.9281915,1.68051732,0.5787687
1684191669173,0,0,0,0,-208.699966,-0.928305566,1.68062735,0.5780422
1684191669270,0,0,0,0,-208.699966,-0.928577363,1.6803745,0.5778042
1684191669368,0,0,0,0,-208.699966,-0.9288199,1.68029821,0.5779874
1684191669479,0,0,0,0,-208.699966,-0.9287945,1.68023837,0.577990949
1684191669577,0,0,0,0,-208.699966,-0.9286092,1.68053353,0.578146
1684191669678,0,0,0,0,-208.699966,-0.928361535,1.68059587,0.578795969
1684191669772,0,0,0,0,-208.699966,-0.928169131,1.68088758,0.5789472
1684191669870,0,0,0,0,-208.699966,-0.928011239,1.68093026,0.5790405
1684191669967,0,0,0,0,-208.699966,-0.927843034,1.68103611,0.5786284
1684191670079,0,0,0,0,-208.699966,-0.92781657,1.68132317,0.5782612
1684191670176,0,0,0,0,-208.699966,-0.927702546,1.68112016,0.5782255
1684191670273,0,0,0,0,-208.699966,-0.927383,1.68131471,0.5778938
1684191670371,0,0,0,0,-208.699966,-0.9271127,1.681536,0.5778243
1684191670469,0,0,0,0,-208.699966,-0.9269467,1.68164349,0.5780481
1684191670572,0,0,0,0,-208.699966,-0.9268436,1.68153667,0.5781668
1684191670677,0,0,0,0,-208.699966,-0.926861644,1.68169236,0.5782275
1684191670773,0,0,0,0,-208.699966,-0.926997542,1.681607,0.5782872
1684191670872,0,0,0,0,-208.699966,-0.927336156,1.68168926,0.578129351
1684191670970,0,0,0,0,-208.699966,-0.9276423,1.68134034,0.5780266
1684191671068,0,0,0,0,-208.699966,-0.927704036,1.68149984,0.577769041
1684191671177,0,0,0,0,-208.699966,-0.927571654,1.681684,0.577978551
1684191671275,0,0,0,0,-208.699966,-0.927288651,1.68180072,0.5781543
1684191671373,0,0,0,0,-208.699966,-0.9270075,1.68172908,0.578191638
1684191671471,0,0,0,0,-208.699966,-0.9268556,1.6814971,0.578359067
1684191671568,0,0,0,0,-208.699966,-0.9267937,1.681529,0.578352451
1684191671679,0,0,0,0,-208.699966,-0.9270408,1.68134475,0.5778828
1684191671776,0,0,0,0,-208.699966,-0.9276475,1.68082559,0.5773212
1684191671873,0,0,0,0,-208.699966,-0.9284272,1.68017852,0.5768615
1684191671971,0,0,0,0,-208.699966,-0.929530859,1.67937732,0.5767592
1684191672068,0,0,0,0,-208.699966,-0.9310595,1.67824244,0.577102661
1684191672180,0,0,0,0,-208.699966,-0.932671249,1.67732918,0.5773352
1684191672277,0,0,0,0,-208.699966,-0.9338208,1.676947,0.5769762
1684191672375,0,0,0,0,-208.699966,-0.934635341,1.67621362,0.57687813
1684191672472,0,0,0,0,-208.699966,-0.9349858,1.67619836,0.576904237
1684191672570,0,0,0,0,-208.699966,-0.9350441,1.67613268,0.577280462
1684191672668,0,0,0,0,-208.699966,-0.934632957,1.67606652,0.5776576
1684191672778,0,0,0,0,-208.699966,-0.933619738,1.67644417,0.5776962
1684191672876,0,0,0,0,-208.699966,-0.9326193,1.67692351,0.5778931
1684191672973,0,0,0,0,-208.699966,-0.9319169,1.67709064,0.5778938
1684191673071,0,0,0,0,-208.699966,-0.9313984,1.67726541,0.5776189
1684191673169,0,0,0,0,-208.699966,-0.9311487,1.67734551,0.577268362
1684191673280,0,0,0,0,-208.699966,-0.931286037,1.67716408,0.5770569
1684191673377,0,0,0,0,-208.699966,-0.9315455,1.67708218,0.5769595
1684191673474,0,0,0,0,-208.699966,-0.931825459,1.67703021,0.5765825
1684191673572,0,0,0,0,-208.699966,-0.932028353,1.67713928,0.5765462
1684191673670,0,0,0,0,-208.699966,-0.932211637,1.67724812,0.5768354
1684191673766,0,0,0,0,-208.699966,-0.932358444,1.677098,0.5770882
1684191673879,0,0,0,0,-208.699966,-0.93254596,1.67699742,0.5771653
1684191673975,0,0,0,0,-208.699966,-0.9323471,1.67732859,0.5771068
1684191674073,0,0,0,0,-208.699966,-0.9320411,1.677785,0.5771372
1684191674171,0,0,0,0,-208.699966,-0.9317885,1.6775825,0.577065051
1684191674270,0,0,0,0,-208.699966,-0.931370139,1.67776036,0.5765999
1684191674380,0,0,0,0,-208.699966,-0.9307001,1.67816591,0.5765416
1684191674478,0,0,0,0,-208.699966,-0.930391,1.67820787,0.57687366
1684191674574,0,0,0,0,-208.699966,-0.93032676,1.678226,0.5770071
1684191674672,0,0,0,0,-208.699966,-0.9300098,1.67856836,0.576969
1684191674770,0,0,0,0,-208.699966,-0.9294771,1.67923927,0.5771338
1684191674868,0,0,0,0,-208.699966,-0.9290042,1.68014884,0.577545047
1684191674980,0,0,0,0,-208.699966,-0.928056657,1.68252337,0.578417
1684191675076,0,0,0,0,-208.699966,-0.925533354,1.6916256,0.5806001
1684191675174,0,0,0,0,-208.699966,-0.920582,1.7039659,0.5832823
1684191675271,0,0,0,0,-208.699966,-0.915917754,1.71052432,0.585382342
1684191675368,0,0,0,0,-208.699966,-0.9121196,1.71695054,0.5862602
1684191675480,0,0,0,0,-208.699966,-0.9055534,1.7284205,0.5860795
1684191675577,0,0,0,0,-208.699966,-0.8994546,1.73664033,0.5862632
1684191675675,0,0,0,0,-208.699966,-0.894604862,1.74003553,0.5873463
1684191675773,0,0,0,0,-208.699966,-0.893239141,1.73965836,0.5885596
1684191675870,0,0,0,0,-208.699966,-0.893686235,1.737923,0.5883368
1684191675968,0,0,0,0,-208.699966,-0.8948614,1.73656726,0.58721596
1684191676080,0,0,0,0,-208.699966,-0.8962863,1.73617661,0.5863807
1684191676187,0,0,0,0,-208.699966,-0.897136331,1.73623991,0.586422265
1684191676274,0,0,0,0,-208.699966,-0.897776544,1.7360518,0.5865984
1684191676371,0,0,0,0,-208.699966,-0.898676634,1.73584652,0.5869658
1684191676469,0,0,0,0,-208.699966,-0.8992884,1.73562562,0.587018549
1684191676581,0,0,0,0,-208.699966,-0.8999752,1.73557544,0.58662504
1684191676678,0,0,0,0,-208.699966,-0.900417566,1.73567879,0.5866575
1684191676775,0,0,0,0,-208.699966,-0.9006645,1.73549175,0.586485
1684191676872,0,0,0,0,-208.699966,-0.9010253,1.73531318,0.58611846
1684191676970,0,0,0,0,-208.699966,-0.901405931,1.73486459,0.5856711
1684191677068,0,0,0,0,-208.699966,-0.902336836,1.73417449,0.584851563
1684191677179,0,0,0,0,-208.699966,-0.9032855,1.73372793,0.584368944
1684191677277,0,0,0,0,-208.699966,-0.9041646,1.73344994,0.584540844
1684191677374,0,0,0,0,-208.699966,-0.9049175,1.73287833,0.5846178
1684191677472,0,0,0,0,-208.699966,-0.905580461,1.73246968,0.584548652
1684191677569,0,0,0,0,-208.699966,-0.905738652,1.73221672,0.584536
1684191677681,0,0,0,0,-208.699966,-0.905638456,1.73238719,0.584204137
1684191677778,0,0,0,0,-208.699966,-0.9055823,1.73215961,0.584052563
1684191677875,0,0,0,0,-208.699966,-0.905597568,1.73234367,0.583734334
1684191677973,0,0,0,0,-208.699966,-0.9052346,1.73238039,0.5837956
1684191678071,0,0,0,0,-208.699966,-0.90511775,1.73221362,0.584173
1684191678168,0,0,0,0,-208.699966,-0.9050045,1.73180211,0.5844411
1684191678280,0,0,0,0,-208.699966,-0.9041696,1.73218584,0.584225953
1684191678377,0,0,0,0,-208.699966,-0.9035355,1.73268259,0.5841221
1684191678475,0,0,0,0,-208.699966,-0.9029389,1.7329011,0.5839436
1684191678572,0,0,0,0,-208.699966,-0.9022243,1.732978,0.5832892
1684191678670,0,0,0,0,-208.699966,-0.9014345,1.73386526,0.58278954
1684191678767,0,0,0,0,-208.699966,-0.900497854,1.73440635,0.582893133
1684191678879,0,0,0,0,-208.699966,-0.899837136,1.73482585,0.583481431
1684191678976,0,0,0,0,-208.699966,-0.9004653,1.73425007,0.5838058
1684191679073,0,0,0,0,-208.699966,-0.9017801,1.73320413,0.5838599
1684191679171,0,0,0,0,-208.699966,-0.902763247,1.73236573,0.5840256
1684191679269,0,0,0,0,-208.699966,-0.9034108,1.732026,0.584146738
1684191679381,0,0,0,0,-208.699966,-0.9040414,1.7314415,0.5842341
1684191679477,0,0,0,0,-208.699966,-0.9042664,1.73112869,0.584322453
1684191679575,0,0,0,0,-208.699966,-0.9047288,1.73025191,0.5851127
1684191679672,0,0,0,0,-208.699966,-0.9049456,1.72223651,0.594924331
1684191679770,0,0,0,0,-208.699966,-0.8953459,1.70709777,0.6355048
1684191679869,0,0,0,0,-208.699966,-0.8724152,1.69524145,0.6900233
1684191679979,0,0,0,0,-208.699966,-0.822564363,1.66846132,0.751376
1684191680077,0,0,0,0,-208.699966,-0.776110947,1.64492381,0.7802022
1684191680174,0,0,0,0,-208.699966,-0.755365,1.636939,0.7900158
1684191680272,0,0,0,0,-208.699966,-0.7545293,1.64035273,0.7915262
1684191680370,0,0,0,0,-208.699966,-0.7612909,1.64435387,0.788292468
1684191680467,0,0,0,0,-208.699966,-0.7767824,1.65385509,0.7792119
1684191680578,0,0,0,0,-208.699966,-0.811780155,1.66531563,0.756613135
1684191680676,0,0,0,0,-208.699966,-0.8540127,1.67965972,0.717597544
1684191680773,0,0,0,0,-208.699966,-0.887236,1.6883142,0.6672665
1684191680870,0,0,0,0,-208.699966,-0.906370044,1.68731463,0.6260158
1684191680968,0,0,0,0,-208.699966,-0.9163206,1.68318784,0.607022762
1684191681081,0,0,0,0,-208.699966,-0.9230236,1.68776381,0.592139363
