Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684192280682,0,0,0,0,-208.699966,0,-0.43,-0.38
1684192280803,0,0,0,0,-208.699966,0,-0.43,-0.38
1684192282438,0,0,0,0,-208.699966,541.457947,1135.768,1616.60815
1684192282499,0,0,0,0,-208.699966,542.2306,1135.79846,1617.1311
1684192282538,0,0,0,0,-208.699966,542.590149,1135.62817,1617.28833
1684192282553,0,0,0,0,-208.699966,542.809265,1135.45837,1617.438
1684192282568,0,0,0,0,-208.699966,542.927856,1135.35156,1617.593
1684192282636,0,0,0,0,-208.699966,543.9596,1134.12415,1618.77588
1684192282733,0,0,0,0,-208.699966,545.765,1131.48425,1621.40112
1684192282830,0,0,0,0,-208.699966,546.2569,1128.82336,1625.37744
1684192282942,0,0,0,0,-208.699966,546.9052,1127.7655,1629.47681
1684192283039,0,0,0,0,-208.699966,547.8224,1130.57727,1627.63525
1684192283137,0,0,0,0,-208.699966,548.0006,1133.41443,1622.497
1684192283237,0,0,0,0,-208.699966,-1.13323152,1.621246,0.5487238
1684192283338,0,0,0,0,-208.699966,-1.13027954,1.62661207,0.5494195
1684192283436,0,0,0,0,-208.699966,-1.12922883,1.63073242,0.549656868
1684192283534,0,0,0,0,-208.699966,-1.13347411,1.62669539,0.549705744
1684192283631,0,0,0,0,-208.699966,-1.13809431,1.61893225,0.5497685
1684192283743,0,0,0,0,-208.699966,-1.13656259,1.619905,0.5509322
1684192283841,0,0,0,0,-208.699966,-1.132299,1.62597537,0.5535904
1684192283939,0,0,0,0,-208.699966,-1.12942231,1.63016355,0.5568682
1684192284037,0,0,0,0,-208.699966,-1.13162136,1.62928534,0.5599385
1684192284134,0,0,0,0,-208.699966,-1.13843441,1.62079477,0.561650753
1684192284233,0,0,0,0,-208.699966,-1.14258909,1.61484933,0.5634703
1684192284345,0,0,0,0,-208.699966,-1.13661814,1.62152159,0.5666738
1684192284440,0,0,0,0,-208.699966,-1.12561345,1.63365352,0.569549739
1684192284538,0,0,0,0,-208.699966,-1.11644781,1.64595473,0.5703546
1684192284635,0,0,0,0,-208.699966,-1.1077975,1.65757573,0.5690484
1684192284732,0,0,0,0,-208.699966,-1.09888244,1.66660941,0.567307234
1684192284830,0,0,0,0,-208.699966,-1.0892204,1.68456638,0.56668824
1684192284942,0,0,0,0,-208.699966,-1.07705677,1.70040822,0.5676482
1684192285039,0,0,0,0,-208.699966,-1.07352531,1.70468223,0.5700975
1684192285154,0,0,0,0,-208.699966,-1.07999837,1.70326543,0.5792275
1684192285234,0,0,0,0,-208.699966,-1.08355665,1.70150542,0.589388669
