Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684193798516,0,0,0,0,-208.699966,0,-0.43,-0.38
1684193798641,0,0,0,0,-208.699966,0,-0.43,-0.38
1684193800179,0,0,0,0,-208.699966,544.6279,957.7028,1640.74011
1684193800218,0,0,0,0,-208.699966,544.233,954.9148,1645.75171
1684193800244,0,0,0,0,-208.699966,544.2028,952.831238,1648.91089
1684193800253,0,0,0,0,-208.699966,544.196045,952.1953,1649.85254
1684193800280,0,0,0,0,-208.699966,544.398254,950.2416,1652.29846
1684193800376,0,0,0,0,-208.699966,545.148743,945.4315,1657.78479
1684193800473,0,0,0,0,-208.699966,545.6298,941.7622,1659.9585
1684193800571,0,0,0,0,-208.699966,545.40564,939.501,1661.48364
1684193800669,0,0,0,0,-208.699966,544.4559,938.1765,1662.18518
1684193800780,0,0,0,0,-208.699966,544.3687,939.1685,1660.4408
1684193800877,0,0,0,0,-208.699966,544.9484,940.7636,1658.65076
1684193800977,0,0,0,0,-208.699966,-0.9415465,1.65811515,0.5455368
1684193801077,0,0,0,0,-208.699966,-0.9422321,1.65722358,0.5459315
1684193801176,0,0,0,0,-208.699966,-0.94251436,1.65656579,0.546133459
1684193801274,0,0,0,0,-208.699966,-0.9422618,1.65652454,0.546361744
1684193801372,0,0,0,0,-208.699966,-0.941996038,1.65659046,0.5462723
1684193801475,0,0,0,0,-208.699966,-0.94185394,1.656405,0.545971453
1684193801581,0,0,0,0,-208.699966,-0.9416875,1.65648186,0.5458622
1684193801679,0,0,0,0,-208.699966,-0.941682339,1.6563983,0.5458987
1684193801782,0,0,0,0,-208.699966,-0.9421031,1.65609562,0.5457924
1684193801873,0,0,0,0,-208.699966,-0.9421677,1.6559664,0.545861959
1684193801971,0,0,0,0,-208.699966,-0.9423135,1.65582716,0.5461773
1684193802069,0,0,0,0,-208.699966,-0.9427682,1.65572226,0.5464597
1684193802181,0,0,0,0,-208.699966,-0.9430759,1.655607,0.54665786
1684193802277,0,0,0,0,-208.699966,-0.9432293,1.65555906,0.546459436
1684193802375,0,0,0,0,-208.699966,-0.9424294,1.65700173,0.5462067
