Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684194232838,0,0,0,0,-208.699966,0,-0.43,-0.38
1684194232963,0,0,0,0,-208.699966,0,-0.43,-0.38
1684194234499,0,0,0,0,-208.699966,2887.064,-1625.57251,1132.89954
1684194234533,0,0,0,0,-208.699966,2886.97729,-1625.6925,1132.88159
1684194234548,0,0,0,0,-208.699966,2886.83423,-1625.49011,1132.90662
1684194234555,0,0,0,0,-208.699966,2886.73657,-1625.37231,1132.994
1684194234639,0,0,0,0,-208.699966,2886.76563,-1625.34937,1132.99719
1684194234740,0,0,0,0,-208.699966,2886.33081,-1625.14844,1133.00024
1684194234837,0,0,0,0,-208.699966,2886.951,-1625.482,1132.99841
1684194234938,0,0,0,0,-208.699966,2886.86328,-1625.55078,1132.98315
1684194235038,0,0,0,0,-208.699966,2886.47363,-1625.30542,1132.96277
1684194235139,0,0,0,0,-208.699966,2886.93457,-1625.377,1133.078
1684194235239,0,0,0,0,-208.699966,2886.75342,-1625.367,1132.99377
1684194235337,0,0,0,0,-208.699966,2886.68726,-1625.35156,1132.99023
1684194235438,0,0,0,0,-208.699966,2886.7417,-1625.35059,1132.99207
1684194235538,0,0,0,0,-208.699966,2886.88965,-1625.49121,1133.06311
1684194235637,0,0,0,0,-208.699966,2886.76733,-1625.44934,1132.98486
1684194235738,0,0,0,0,-208.699966,2886.86572,-1625.4751,1132.9834
1684194235837,0,0,0,0,-208.699966,2886.78,-1625.41284,1133.009
1684194235938,0,0,0,0,-208.699966,2886.8103,-1625.42371,1132.953
1684194236038,0,0,0,0,-208.699966,2886.81665,-1625.29248,1132.98376
1684194236138,0,0,0,0,-208.699966,2886.77368,-1625.40149,1133.02368
1684194236239,0,0,0,0,-208.699966,2886.36157,-1625.22974,1133.03333
1684194236338,0,0,0,0,-208.699966,2886.74561,-1625.37366,1132.97253
1684194236439,0,0,0,0,-208.699966,2886.496,-1625.23584,1133.00366
1684194236536,0,0,0,0,-208.699966,2886.78687,-1625.36646,1132.99438
1684194236639,0,0,0,0,-208.699966,2886.82886,-1625.46936,1132.96875
1684194236737,0,0,0,0,-208.699966,2886.336,-1625.15125,1132.96631
1684194236838,0,0,0,0,-208.699966,2887.89429,-1625.812,1132.99817
1684194236939,0,0,0,0,-208.699966,2887.46558,-1625.58533,1132.97375
1684194237037,0,0,0,0,-208.699966,2886.60669,-1625.24817,1133.03357
1684194237138,0,0,0,0,-208.699966,2886.55469,-1625.20337,1133.04517
1684194237241,0,0,0,0,-208.699966,2886.92578,-1625.5387,1132.952
1684194237338,0,0,0,0,-208.699966,2886.732,-1625.3927,1132.96265
1684194237438,0,0,0,0,-208.699966,2886.87915,-1625.44531,1133.02771
1684194237538,0,0,0,0,-208.699966,2886.84131,-1625.49329,1133.001
1684194237639,0,0,0,0,-208.699966,2886.77832,-1625.45947,1132.955
1684194237739,0,0,0,0,-208.699966,2886.89063,-1625.45752,1132.91223
1684194237837,0,0,0,0,-208.699966,2887.023,-1625.57874,1132.97937
1684194237944,0,0,0,0,-208.699966,2887.01929,-1625.52,1132.97009
1684194238038,0,0,0,0,-208.699966,2887.02661,-1625.62244,1132.93579
1684194238140,0,0,0,0,-208.699966,2886.88062,-1625.48877,1132.96362
1684194238238,0,0,0,0,-208.699966,2886.95142,-1625.578,1132.92432
1684194238338,0,0,0,0,-208.630859,2886.86157,-1625.438,1132.92126
1684194238438,0,0,0,0,-208.5408,2886.9585,-1625.47925,1132.97717
1684194238539,0,0,0,0,-208.45285,2886.7688,-1625.394,1132.91614
1684194238638,0,0,0,0,-208.368027,2886.80835,-1625.48364,1132.92834
1684194238740,0,0,0,0,-208.281113,2886.825,-1625.43213,1132.98071
1684194238839,0,0,0,0,-208.1963,2886.86572,-1625.29651,1133.0061
1684194238940,0,0,0,0,-208.108337,2887.10278,-1625.63489,1132.95325
1684194239037,0,0,0,0,-208.0183,2887.03345,-1625.5304,1132.93591
1684194239138,0,0,0,0,-207.932419,2886.93848,-1625.55688,1132.96619
1684194239238,0,0,0,0,-207.8448,2886.82935,-1625.4,1133.01563
1684194239339,0,0,0,0,-207.75972,2886.826,-1625.33618,1133.01331
1684194239438,0,0,0,0,-207.6841,2887.06274,-1625.61938,1132.957
1684194239537,0,0,0,0,-207.589828,2887.17822,-1625.57007,1132.9751
1684194239638,0,0,0,0,-207.504868,2887.016,-1625.42407,1132.94812
1684194239738,0,0,0,0,-207.418884,2886.45679,-1625.20337,1133.0603
1684194239840,0,0,0,0,-207.333923,2886.70435,-1625.31055,1132.99036
1684194239938,0,0,0,0,-207.2459,2886.65649,-1625.27478,1132.99683
1684194240039,0,0,0,0,-207.155838,2886.81714,-1625.27441,1133.01917
1684194240140,0,0,0,0,-207.0689,2886.56641,-1625.18347,1133.03992
1684194240239,0,0,0,0,-206.985046,2886.88867,-1625.38513,1133.03491
1684194240339,0,0,0,0,-206.897064,2886.90161,-1625.28015,1132.9657
1684194240439,0,0,0,0,-206.809082,2886.84424,-1625.203,1132.815
1684194240538,0,0,0,0,-206.722137,2887.25,-1625.45935,1132.80371
1684194240638,0,0,0,0,-206.637283,2888.11035,-1625.545,1132.67236
1684194240737,0,0,0,0,-206.5514,2888.1897,-1625.45435,1132.62256
1684194240837,0,0,0,0,-206.464508,2888.12817,-1625.4585,1132.673
1684194240938,0,0,0,0,-206.378632,2888.264,-1625.65,1132.619
1684194241041,0,0,0,0,-206.292755,2888.03955,-1625.52612,1132.88477
1684194241139,0,0,0,0,-206.2069,2887.17,-1625.44,1132.86035
1684194241240,0,0,0,0,-206.122055,2886.8833,-1625.26013,1132.99023
1684194241337,0,0,0,0,-206.037247,2886.90674,-1625.68457,1132.93677
1684194241439,0,0,0,0,-205.9514,2886.432,-1625.13818,1132.95947
1684194241538,0,0,0,0,-205.866577,2886.67749,-1625.38489,1132.94128
1684194241639,0,0,0,0,-205.777634,2886.818,-1625.52026,1132.97107
1684194241739,0,0,0,0,-205.691788,2886.40381,-1625.38147,1132.89856
1684194241838,0,0,0,0,-205.609039,2886.41357,-1625.555,1132.95325
1684194241937,0,0,0,0,-205.522156,2886.58423,-1625.56238,1132.90234
1684194242039,0,0,0,0,-205.435287,2886.29468,-1625.40649,1132.94788
1684194242139,0,0,0,0,-205.347366,2886.32861,-1625.34851,1132.92578
1684194242237,0,0,0,0,-205.25946,2886.56836,-1625.67029,1132.84827
1684194242338,0,0,0,0,-205.169479,2886.49048,-1625.62549,1132.87317
1684194242438,0,0,0,0,-205.084671,2886.203,-1625.23413,1132.8783
1684194242538,0,0,0,0,-204.99675,2886.17,-1625.20154,1132.887
1684194242638,0,0,0,0,-204.909882,2886.35327,-1625.29736,1132.97974
1684194242738,0,0,0,0,-204.824036,2886.20581,-1625.24573,1132.85754
1684194242838,0,0,0,0,-204.737152,2886.84985,-1625.758,1132.8717
1684194242938,0,0,0,0,-204.649246,2886.12183,-1625.2782,1132.94482
1684194243038,0,0,0,0,-204.562363,2886.10083,-1625.0968,1133.04736
1684194243139,0,0,0,0,-204.476517,2886.283,-1625.28662,1132.88672
1684194243240,0,0,0,0,-204.390671,2886.5647,-1625.51135,1132.922
1684194243339,0,0,0,0,-204.301727,2886.45361,-1625.44312,1132.98071
1684194243440,0,0,0,0,-204.216919,2886.49683,-1625.63953,1132.83093
1684194243537,0,0,0,0,-204.129013,2886.1438,-1625.32629,1132.95251
1684194243637,0,0,0,0,-204.040054,2886.59,-1625.53638,1132.92493
1684194243741,0,0,0,0,-203.954224,2886.26514,-1625.38037,1132.87952
1684194243839,0,0,0,0,-203.868378,2886.53149,-1625.60132,1132.89209
1684194243938,0,0,0,0,-203.783569,2886.56934,-1625.52258,1132.94885
1684194244038,0,0,0,0,-203.700821,2886.38745,-1625.27808,1133.04
1684194244137,0,0,0,0,-203.613937,2886.5376,-1625.4491,1132.92114
1684194244238,0,0,0,0,-203.524979,2886.31787,-1625.30847,1132.87964
