Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1684451947236,0,0,0,0,-208.699966,0,-0.43,-0.38
1684451947403,0,0,0,0,-208.699966,0,-0.43,-0.38
1684451949526,0,0,0,0,-208.699966,2392.807,-2186.23535,1327.9906
1684451949589,0,0,0,0,-208.699966,2403.15259,-2215.56445,1333.65942
1684451949631,0,0,0,0,-208.699966,2408.90771,-2229.62134,1335.33667
1684451949659,0,0,0,0,-208.699966,2413.427,-2238.78516,1336.96179
1684451949677,0,0,0,0,-208.699966,2416.14648,-2244.81787,1336.869
1684451949701,0,0,0,0,-208.699966,2420.37231,-2252.18481,1338.43921
1684451949797,0,0,0,0,-208.699966,2429.51782,-2265.58716,1337.95276
1684451949894,0,0,0,0,-208.699966,2443.96069,-2271.45386,1332.9585
1684451950007,0,0,0,0,-208.699966,2456.03833,-2279.69385,1329.46741
1684451950103,0,0,0,0,-208.699966,2463.9397,-2285.76685,1322.815
1684451950201,0,0,0,0,-208.699966,2468.00854,-2287.693,1317.01855
1684451950306,0,0,0,0,-208.699966,2461.03784,-2281.79883,1312.92615
1684451950398,0,0,0,0,-208.699966,2.27148962,1.30739808,2.44226384
1684451950498,0,0,0,0,-208.699966,2.250678,1.30002761,2.41017842
1684451950597,0,0,0,0,-208.699966,2.2271955,1.29394531,2.378295
1684451950709,0,0,0,0,-208.699966,2.18821931,1.29304922,2.34850335
1684451950807,0,0,0,0,-208.699966,2.151207,1.28884518,2.32408261
1684451950904,0,0,0,0,-208.699966,2.103973,1.2801162,2.28757787
1684451951002,0,0,0,0,-208.699966,2.05692,1.27708876,2.251764
1684451951099,0,0,0,0,-208.699966,2.016536,1.28656483,2.232075
1684451951196,0,0,0,0,-208.699966,1.99028,1.31257415,2.2224853
1684451951309,0,0,0,0,-208.699966,1.9676702,1.38674819,2.214066
1684451951406,0,0,0,0,-208.699966,1.94803786,1.45505714,2.20592856
1684451951503,0,0,0,0,-208.699966,1.91911948,1.52438617,2.196971
1684451951600,0,0,0,0,-208.699966,1.90457094,1.59028339,2.199845
1684451951699,0,0,0,0,-208.699966,1.89947021,1.64342511,2.2155726
1684451951795,0,0,0,0,-208.699966,1.87771749,1.656463,2.22909665
1684451951908,0,0,0,0,-208.699966,1.83449721,1.62790084,2.24202442
1684451952005,0,0,0,0,-208.699966,1.79259968,1.578912,2.254965
1684451952102,0,0,0,0,-208.699966,1.75943959,1.51948535,2.26560664
1684451952199,0,0,0,0,-208.699966,1.74071431,1.45732546,2.27644444
1684451952297,0,0,0,0,-208.699966,1.7392478,1.42130411,2.288141
1684451952412,0,0,0,0,-208.699966,1.763953,1.40210819,2.29315376
1684451952507,0,0,0,0,-208.699966,1.78453588,1.395684,2.29095531
1684451952602,0,0,0,0,-208.699966,1.79840255,1.3864857,2.29332662
1684451952700,0,0,0,0,-208.699966,1.8069129,1.375208,2.29839158
1684451952798,0,0,0,0,-208.699966,1.81158376,1.36594224,2.30280781
1684451952896,0,0,0,0,-208.699966,1.81423807,1.35861242,2.30525732
1684451953007,0,0,0,0,-208.699966,1.81790161,1.34802723,2.307478
1684451953103,0,0,0,0,-208.699966,1.82913029,1.34863341,2.30752754
1684451953201,0,0,0,0,-208.699966,1.84819508,1.35896122,2.30807519
1684451953299,0,0,0,0,-208.699966,1.86381257,1.37079453,2.30976725
1684451953397,0,0,0,0,-208.699966,1.872204,1.37689888,2.31235862
1684451953508,0,0,0,0,-208.699966,1.87696433,1.37498629,2.31772232
1684451953605,0,0,0,0,-208.699966,1.879891,1.36963,2.32493019
1684451953703,0,0,0,0,-208.699966,1.87673771,1.35599494,2.33382654
1684451953800,0,0,0,0,-208.699966,1.87907851,1.3531872,2.33724213
1684451953898,0,0,0,0,-208.699966,1.88118052,1.352467,2.33701968
1684451953996,0,0,0,0,-208.699966,1.88243556,1.35048938,2.336065
1684451954106,0,0,0,0,-208.699966,1.88306308,1.349349,2.3339076
1684451954203,0,0,0,0,-208.699966,1.885425,1.34711993,2.33156133
1684451954301,0,0,0,0,-208.699966,1.883536,1.34552646,2.32630348
1684451954399,0,0,0,0,-208.699966,1.88471,1.34558821,2.3242538
1684451954497,0,0,0,0,-208.699966,1.88497651,1.34525251,2.32404017
1684451954608,0,0,0,0,-208.699966,1.88316941,1.34358847,2.323121
1684451954706,0,0,0,0,-208.699966,1.88240361,1.34130478,2.32262325
1684451954803,0,0,0,0,-208.699966,1.8811363,1.34135842,2.322531
1684451954900,0,0,0,0,-208.699966,1.88139689,1.34366322,2.32496929
1684451954999,0,0,0,0,-208.699966,1.88079059,1.34544289,2.32730865
1684451955095,0,0,0,0,-208.699966,1.87985623,1.34689713,2.32787514
1684451955206,0,0,0,0,-208.699966,1.87812459,1.35075486,2.32889533
1684451955304,0,0,0,0,-208.699966,1.87626767,1.35274935,2.329311
1684451955402,0,0,0,0,-208.699966,1.87530184,1.35520828,2.33067846
1684451955500,0,0,0,0,-208.699966,1.87357938,1.357254,2.33204246
1684451955597,0,0,0,0,-208.699966,1.8706727,1.36031985,2.333111
1684451955717,0,0,0,0,-208.699966,1.86925149,1.36640573,2.336254
1684451955805,0,0,0,0,-208.699966,1.8678546,1.37027037,2.33876562
1684451955902,0,0,0,0,-208.699966,1.86600447,1.37158513,2.34280968
1684451956000,0,0,0,0,-208.699966,1.863258,1.3719933,2.345641
1684451956099,0,0,0,0,-208.699966,1.86046588,1.37324619,2.3463
1684451956195,0,0,0,0,-208.699966,1.85683882,1.37300825,2.347475
1684451956308,0,0,0,0,-208.699966,1.85415828,1.37170208,2.34967422
1684451956404,0,0,0,0,-208.699966,1.85159624,1.37290847,2.34924364
1684451956502,0,0,0,0,-208.699966,1.84932148,1.37595975,2.34934521
1684451956600,0,0,0,0,-208.699966,1.84866333,1.37536252,2.34993386
1684451956696,0,0,0,0,-208.699966,1.848799,1.374249,2.35045147
1684451956809,0,0,0,0,-208.699966,1.84933937,1.37326956,2.3534348
1684451956906,0,0,0,0,-208.699966,1.849122,1.37024128,2.35604024
1684451957002,0,0,0,0,-208.699966,1.84814882,1.36965239,2.35594034
1684451957100,0,0,0,0,-208.699966,1.85104573,1.37117064,2.35861945
