Time,HighRewardLog,MedRewardLog,LowRewardLog,ShellLog,QuadX,QuestX,QuestY,QuestZ
1683924526381,0,0,0,0,-208.699966,0,-0.43,-0.38
1683924526500,0,0,0,0,-208.699966,0,-0.43,-0.38
1683924527987,0,0,0,0,-208.699966,635.0947,884.9994,1606.97852
1683924528032,0,0,0,0,-208.699966,631.2141,912.542664,1603.64551
1683924528056,0,0,0,0,-208.699966,627.56,933.022766,1599.989
1683924528081,0,0,0,0,-208.699966,624.8405,946.3709,1597.01392
1683924528094,0,0,0,0,-208.699966,623.3898,952.947449,1595.51306
1683924528179,0,0,0,0,-208.699966,609.901733,1013.01526,1583.591
1683924528293,0,0,0,0,-208.699966,594.9486,1089.72241,1580.77527
1683924528386,0,0,0,0,-208.699966,587.2979,1155.87866,1585.81653
1683924528484,0,0,0,0,-208.699966,585.3005,1218.844,1587.07666
1683924528582,0,0,0,0,-208.699966,589.4053,1276.14087,1586.68115
1683924528680,0,0,0,0,-208.699966,601.2559,1340.41016,1592.26831
1683924528780,0,0,0,0,-208.699966,620.6524,1403.39331,1609.09937
1683924528877,0,0,0,0,-208.699966,-1.46156335,1.63247,0.642443061
1683924528978,0,0,0,0,-208.699966,-1.51588941,1.652192,0.658616245
1683924529090,0,0,0,0,-208.699966,-1.56737065,1.658727,0.6620505
1683924529187,0,0,0,0,-208.699966,-1.60711884,1.662467,0.6545754
1683924529286,0,0,0,0,-208.699966,-1.6311096,1.66214359,0.6439209
1683924529384,0,0,0,0,-208.699966,-1.65620816,1.66175294,0.628939152
1683924529482,0,0,0,0,-208.699966,-1.67570412,1.66112685,0.6172774
1683924529579,0,0,0,0,-208.699966,-1.69342816,1.6553756,0.607739568
1683924529691,0,0,0,0,-208.699966,-1.71062589,1.6445477,0.5997132
1683924529787,0,0,0,0,-208.699966,-1.71485567,1.63044739,0.595807433
1683924529885,0,0,0,0,-208.699966,-1.70989847,1.61151612,0.59345
1683924530071,0,0,0,0,-208.699966,-1.69585311,1.57837689,0.5839705
1683924530095,0,0,0,0,-208.699966,-1.69449258,1.57654011,0.58327353
1683924530178,0,0,0,0,-208.699966,-1.68434131,1.56784654,0.579706252
1683924530289,0,0,0,0,-208.699966,-1.63667059,1.5611819,0.577158868
1683924530386,0,0,0,0,-208.699966,-1.58518672,1.56767738,0.584450543
1683924530482,0,0,0,0,-208.699966,-1.52216983,1.58063614,0.5978225
1683924530580,0,0,0,0,-208.699966,-1.43957412,1.60788918,0.6079195
1683924530678,0,0,0,0,-208.699966,-1.36556911,1.65002763,0.605225563
1683924530788,0,0,0,0,-208.699966,-1.32096207,1.66748714,0.596632063
1683924530887,0,0,0,0,-208.699966,-1.29473269,1.674923,0.588354349
1683924530984,0,0,0,0,-208.699966,-1.25361025,1.68308234,0.5681379
1683924531082,0,0,0,0,-208.699966,-1.208316,1.68680167,0.53824
1683924531179,0,0,0,0,-208.699966,-1.15050793,1.7069577,0.5276923
1683924531280,0,0,0,0,-208.699966,-1.12527275,1.71518421,0.530191064
1683924531387,0,0,0,0,-208.699966,-1.09835815,1.72117162,0.538492
